jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2442713.76153037,1975.8213868045723,24392.86685522477,0.7270022,47.2468,26.6172,5.3664,281.06268716927934,175.82435035401838,15873.182511601906
2442717.71073244,1975.8321991305681,24392.204430246587,0.7271315,47.2694,25.5296,6.3473,277.7279345747402,171.82521299548424,15869.13400500286
2442744.03569983,1975.9042729632579,24388.650239042432,0.7265401,47.2726,18.2082,13.4,291.1815555035191,145.60993322718002,15883.354688428886
2442747.54536055,1975.9138818906224,24388.5685659384,0.7265331,47.2726,17.2346,14.334,291.3299411646185,142.11111937594927,15883.497029138283
2442749.73882242,1975.9198872619306,24388.316774558712,0.7265299,47.2726,16.6261,14.9177,291.3391271702494,139.92438570500835,15883.422428955373
2442757.63527108,1975.941506560109,24388.1087840882,0.7265187,47.2726,14.4356,17.0191,291.5553948138604,132.05233836073398,15883.599804191148
2442783.51620531,1976.0123646962625,24386.26195761139,0.7251506,47.226,7.3054,24.2886,324.41316729231676,106.6827093454894,15920.536387726677
2442795.79801177,1976.0459904497468,24386.247695010028,0.7248068,47.187,3.8049,27.4463,332.79323918243426,94.23463809116521,15930.089344138783
2442797.99111795,1976.0519948472281,24385.987548820318,0.7248059,47.1869,3.2017,28.0272,332.7435961088131,92.05075499788467,15929.944426309801
2442801.50010108,1976.0616019194529,24385.864395409502,0.7248037,47.1868,2.2365,28.9568,332.76335391843077,88.55660899696443,15929.925137407146
2442812.90398454,1976.09282405076,24385.168932285404,0.7249057,47.2033,359.1346,31.9902,330.08467780880073,77.24814172634836,15926.63492854372
2442817.72854518,1976.1060329779057,24384.853127250077,0.724902,47.2031,357.8071,33.2678,330.08802560024014,72.44302795394873,15926.531550657563
2442827.37738847,1976.1324500711016,24384.21063924276,0.7250681,47.1358,355.0811,35.7699,325.86106104722603,62.70897440340866,15921.49241250576
2442830.44734668,1976.1408551586032,24383.76011718662,0.7252542,47.1159,354.2427,36.573,321.19938040453235,59.647842902801926,15916.02015027203
2442834.39440154,1976.151661605859,24383.57033235543,0.7253903,47.118,353.157,37.6253,317.8286338970238,55.72412189071213,15912.107776369467
