jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2450964.55655399,1998.410832454456,49004.401679573304,0.8652766,24.4061,35.7284,179.8927,223.90330923782858,147.2614163957804,22257.910508066878
2450964.5600516,1998.41084203039,49004.58415452245,0.8652841,24.4088,35.7236,179.9005,223.56035850222997,147.26096905956484,22257.336465416534
2450965.80037758,1998.4142378578504,49000.799473831496,0.8652851,24.4315,35.5937,180.1281,223.00150103726082,146.1361711738432,22255.529921066103
2451073.7,1998.7096509240253,48457.32522766107,0.8646842,22.389,23.253,203.028,178.90542904113954,50.34666735094578,22060.672763478822
2451081.11821547,1998.7299608910887,48400.340139928805,0.8651361,22.3853,22.2941,204.6965,149.32233259734585,43.744679208105936,21995.69531199594
2451084.78849304,1998.7400095634223,48302.280616333264,0.8647515,22.4278,21.8949,205.4517,154.6746999381494,40.4831571679496,21984.290260040612
2451088.44301334,1998.7500150947017,48237.17339251212,0.8645741,22.4386,21.4584,206.2436,154.42632013700677,37.236565907414445,21969.913783993423
2451092.09397703,1998.7600108885144,48017.52711967965,0.8643582,22.4296,21.0197,207.212,135.0475100621652,34.16778013479984,21888.34255981794
2451098.09001426,1998.776427143764,47425.65863573169,0.862295,22.4418,20.2912,208.5508,152.61402243343127,28.868228244964342,21792.048116674072
2451098.09092014,1998.7764296239288,47425.57174961407,0.8622947,22.4418,20.2911,208.551,152.6162854521317,28.867435385591335,21792.03331537031
