jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2440641.73844371,1970.1484967658039,26193.86404645233,0.738773,65.4456,51.684,285.1276,464.4082232626024,2.8927643105607785,16685.86339449747
2440643.69144752,1970.1538437988231,26192.791298162276,0.738881,65.4981,51.345,285.0338,461.29917098483475,0.5350324236583219,16681.829912853827
2440647.59767587,1970.164538469186,26192.580871275703,0.738803,65.4513,50.7739,284.9295,463.28724583460007,356.0095510930547,16684.11551040526
2440648.08590826,1970.1658751766192,26192.363968892263,0.738801,65.448,50.6851,284.8755,463.28297631068926,355.3855364170551,16684.03938230344
2440651.01541489,1970.1738957286514,26191.625818246604,0.738759,65.4438,50.2519,284.8274,464.1902203845593,352.0168376855187,16684.87179479462
2440655.40718135,1970.1859197299111,26179.796588642388,0.738792,65.5033,49.4661,284.7429,460.23600732610066,346.8178972319849,16676.313214547732
2440657.35888343,1970.1912631989865,26179.83107738706,0.73871,65.4831,49.157,284.7037,462.39176221046546,344.5459483648945,16678.877008124968
2440683.38448711,1970.2625174185084,26552.4236821794,0.7419099,65.5336,45.2139,283.9638,474.78138337604923,314.2114293369794,16815.216913496413
2440685.37808633,1970.2679755957013,26553.45872809939,0.7419029,65.4953,44.9678,283.902,475.2343926921403,311.938585547528,16816.094394444295
2440691.85729059,1970.2857146901854,26553.6931537186,0.7420348,65.5158,44.0483,283.713,471.79246513764883,304.4440115332908,16812.058920164636
2440703.81915307,1970.318464484791,26553.93217259561,0.7419579,65.5444,42.3295,283.4201,473.8961210741354,290.64238547516914,16814.649765110156
2440707.30814967,1970.3280168368783,26554.406520559365,0.7420479,65.5453,41.8153,283.3388,471.6286262319818,286.60803872382553,16812.09494433797
2440711.29556402,1970.3389337823958,26554.378284968578,0.7420198,65.5382,41.2469,283.2427,472.36752083185,282.0134383375254,16812.96859702876
2440714.28610571,1970.3471214393157,26554.23490226745,0.7419968,65.541,40.8192,283.1538,472.9412783366888,278.5492818463263,16813.607479863902
2440718.27359568,1970.3580385918685,26554.56658248338,0.7420118,65.5518,40.2539,283.0524,472.6285343950394,273.9524069272936,16813.34162333115
2440724.25498509,1970.3744147435725,26555.1776459118,0.7420308,65.5946,39.3906,282.895,472.2816331737504,267.03629231387714,16813.125714889047
2440728.74098181,1970.3866967332233,26554.99842640973,0.7422099,65.6102,38.7256,282.7722,467.4793998440073,261.82697603962777,16807.328444108727
2440732.72866592,1970.3976144173032,26555.555331572625,0.7423739,65.6385,38.1294,282.6692,463.2678534072611,257.1974097708679,16802.473749808472
2440740.20563316,1970.4180852379473,26555.671905022573,0.7426348,65.6357,37.0579,282.4629,456.36951097051406,248.55011433902996,16794.25875438274
2440746.18730472,1970.434462162135,26556.06205151371,0.7426688,65.6216,36.211,282.321,455.5670149904836,241.66562163139213,16793.424858227274
2440748.18125541,1970.4399213016015,26556.368283746495,0.7428869,65.6219,35.8941,282.2543,449.8538741757402,239.31673142344874,16786.684081813608
2440755.16000963,1970.4590280893362,26556.32662858397,0.7430509,65.6304,34.8912,282.0568,445.4879265206864,231.23788783899147,16781.440666403465
2440756.65548885,1970.463122488296,26556.443916524808,0.7431159,65.6289,34.6724,282.0136,443.7918946969485,229.50190421347025,16779.446371432496
2440759.64645627,1970.471311310801,26556.65802110186,0.7432609,65.6399,34.2492,281.9225,439.9961793454722,226.03962811169106,16774.96612427152
2440762.63747476,1970.4795002731278,26557.093303892907,0.7433819,65.633,33.8217,281.8484,436.8945251677196,222.59000167397494,16771.388018452595
2440766.12693193,1970.4890538861873,26557.057559195895,0.7435699,65.6539,33.2984,281.7905,431.89262561035866,218.56950097252349,16765.376318756873
2440773.60447172,1970.5095262743869,26557.24969938905,0.7439609,65.681,32.1544,281.6134,421.55801150684147,209.8783412207071,16753.03142220467
2440774.60150595,1970.5122560053392,26557.41483505593,0.7439779,65.6526,32.0025,281.5845,421.1488166421732,208.71483807793675,16752.593275922653
2440777.59259816,1970.5204451694997,26557.52816320952,0.7439779,65.6511,31.5645,281.5176,421.1778311540447,205.2618389800777,16752.66476407297
2440780.58362419,1970.5286341524713,26557.18226899436,0.7440499,65.6304,31.11,281.4484,419.1771574673321,201.79010511029094,16750.149430810572
2440787.06431428,1970.5463773149354,26557.42233727172,0.7441069,65.6492,30.1598,281.2937,417.72482989370565,194.29766662324113,16748.481935128606
2440791.05255404,1970.5572965203019,26557.97583888926,0.7442089,65.6544,29.5507,281.1951,415.1575536029077,189.65905269136908,16745.57532192628
2440809.99646828,1970.6091621308144,26557.86347687534,0.7442879,65.7198,26.6838,280.7676,413.0307411850945,167.6930329068001,16742.982296102273
2440819.46854704,1970.6350952691037,26557.575118842353,0.7442018,65.7444,25.2481,280.5763,415.24361176465936,156.73010312266393,16745.54930355428
2440822.95821145,1970.644649449555,26557.457818411123,0.7441189,65.7603,24.7518,280.4889,417.41521977863795,152.70689816025669,16748.121345468382
2440825.45081937,1970.6514738381106,26557.451993141298,0.7441689,65.7665,24.3992,280.4114,416.08585660252993,149.82001828020952,16746.521843758637
2440829.43906232,1970.6623930522112,26557.749174239303,0.7442269,65.7107,23.8036,280.3136,414.6215353176258,145.19570120394872,16744.857780827595
2440836.41831202,1970.681501196496,26557.145023593363,0.7440239,65.7519,22.775,280.1281,419.85811027383807,137.10266926146915,16750.955514223293
2440838.41237746,1970.6869606501298,26557.183504626013,0.7439709,65.7882,22.4877,280.066,421.27549122424443,134.78786595325397,16752.67065985114
2440844.89312021,1970.7047039567697,26557.438047811364,0.7438848,65.804,21.564,279.8932,423.62725710281666,127.30377556288948,16755.57759839393
2440850.37666162,1970.7197170749353,26556.865952018623,0.7438639,65.8197,20.7745,279.7424,424.03577317283634,120.95875302330694,16755.88319570853
2440860.84501579,1970.748377866639,26556.329099648377,0.7436429,65.845,19.2338,279.4439,429.76721463146896,108.8016680100061,16762.590102864564
2440864.3343307,1970.7579310902117,26555.751680475052,0.7435129,65.8557,18.7371,279.3327,433.0714368451718,104.75460752373942,16766.368014380998
2440865.82975799,1970.7620253469947,26555.707292068597,0.7435079,65.8549,18.5255,279.292,433.1928303279874,103.02837508187338,16766.499281491568
2440868.82062588,1970.7702138970014,26555.813277417954,0.7434819,65.8542,18.1011,279.2028,433.9104658780252,99.56689707945691,16767.39448572063
2440871.3130141,1970.7770376840515,26555.881934603334,0.7434639,65.8393,17.7371,279.1303,434.40608356359553,96.67383374143071,16768.011232817684
2440879.28824898,1970.7988726871456,26554.727793926468,0.743471,65.8405,16.5973,278.8985,433.9214662481627,87.44163262756354,16767.05632118527
2440881.78048301,1970.805696052047,26554.669556341258,0.74346,65.8554,16.2365,278.8252,434.1986279837856,84.55112126302242,16767.369935076647
2440884.77115494,1970.8138840655445,26554.657379431985,0.743409,65.8543,15.7866,278.7376,435.54979164583256,81.0659364039804,16768.986622836623
2440887.26332034,1970.8207072425457,26554.40369699691,0.743352,65.865,15.4334,278.6636,436.9983000268621,78.1823926835225,16770.641615946333
2440889.75540297,1970.8275301929366,26553.90720285631,0.743402,65.8652,15.0747,278.5883,435.54318043852345,75.29213054278944,16768.735823671985
2440893.24428204,1970.837082223244,26553.50963604585,0.743511,65.8448,14.5535,278.4784,432.54683303976253,71.22229963221622,16765.01299270863
2440897.23158296,1970.8479988582071,26553.570690611923,0.743599,65.8483,13.9856,278.3609,430.22577864358755,66.60691104547402,16762.24787367516
2440903.71062409,1970.865737506064,26552.504227224035,0.743703,65.8492,13.0643,278.1694,427.1908759248381,59.10819781690702,16758.260483580114
2440907.19922622,1970.8752887781523,26552.203399454094,0.743943,65.8516,12.5445,278.0561,420.7412458540166,55.03663986516244,16750.418969339848
2440913.17962421,1970.8916622154966,26551.917400425573,0.744105,65.8593,11.6646,277.8988,416.36660318190116,48.105002421244535,16745.070860130858
2440914.1763262,1970.894391036824,26551.763906281987,0.74412,65.8681,11.5204,277.8737,415.9290483394343,46.953326743425805,16744.495454239008
2440915.67135174,1970.898484193676,26551.410525324372,0.744166,65.87,11.3014,277.8318,414.61726033583545,45.218890276662705,16742.80477534126
2440920.15633698,1970.910763414045,26550.598746352312,0.74424,65.8901,10.6608,277.7098,412.44483536706684,40.03577094379557,16739.93128013708
2440923.6447565,1970.9203141861742,26550.89106078482,0.744335,65.883,10.1422,277.6241,409.99726305555123,35.99319297727084,16737.083050114605
2440928.1297411,1970.9325934047915,26550.74172715006,0.744388,65.8765,9.4768,277.5044,408.5518943602792,30.78757427502734,16735.296742197504
2440929.12635409,1970.9353219824502,26550.466263703893,0.744522,65.861,9.3098,277.4827,404.9237201185424,29.61658631792534,16730.843728142405
2440931.61786765,1970.9421433748118,26549.885899808694,0.744702,65.8392,8.9153,277.4119,399.99647044936046,26.695585067764398,16724.727202471786
2440933.61109087,1970.9476005225738,26549.73023008543,0.744881,65.8592,8.6137,277.3565,395.20432656916455,24.374011873404243,16718.907464856893
2440935.10605185,1970.9516935026697,26550.15296910262,0.744952,65.8738,8.3922,277.3089,393.42711446368594,22.631439038883173,16716.90335684081
2440936.60094433,1970.9557862952224,26549.751309308154,0.7449359,65.8991,8.189,277.2698,393.7521229325066,20.915733719933655,16717.165307266376
2440941.08568788,1970.9680648538808,26549.740813790355,0.744991,65.8882,7.5336,277.1549,392.28655518386586,15.725152602935623,16715.39660367541
2440942.08227668,1970.9707933653115,26549.654556902547,0.744991,65.889,7.3849,277.1314,392.2645589011627,14.570688487844336,16715.34229737918
2440945.07197368,1970.9789787095963,26549.19823610825,0.745099,65.8722,6.9068,277.0588,389.2808795822293,11.073264545328584,16711.600457325854
2440949.05830938,1970.98989270193,26549.326557813427,0.745159,65.8815,6.3084,276.9639,387.7206293197314,6.450927305167568,16709.761581078055
2440955.03783758,1971.0062637579188,26549.5704174232,0.745247,65.873,5.4071,276.8248,385.4464125498125,359.51694714922746,16707.09897232004
2440960.02060904,1971.0199058426826,26549.54104813925,0.7451597,65.9049,4.6358,276.709,387.7567055701211,353.71869663426986,16709.874180203988
2440965.00345174,1971.033548122491,26549.210935919218,0.7452987,65.898,3.9112,276.5918,383.98223935284204,347.9656759031762,16705.21800613277
2440967.99314441,1971.0417334549218,26549.135178244003,0.7452474,65.9022,3.4542,276.5249,385.32491440912327,344.4950562281424,16706.812283476967
2440969.48796632,1971.0458260542641,26548.321456712754,0.7449329,65.8806,3.1909,276.4819,393.4670638314974,342.71542046487565,16716.360921389525
2440970.98277522,1971.0499186179882,26548.800845529764,0.7452154,65.9103,3.0093,276.4476,386.08930390796377,341.0261975242564,16707.625978947006
2440973.47413988,1971.056739602683,26548.531781923262,0.7450178,65.9209,2.6223,276.3929,391.2667405247148,338.1289430341623,16713.77829078806
2440974.47067674,1971.0594679719102,26547.93256446553,0.7450252,65.9716,2.4297,276.3658,390.9174960380842,336.9270301123632,16713.164376410667
