jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2445434.96203727,1983.2716277543325,24518.174570849525,0.7264321,47.4897,275.9139,0.3893,329.2492291807048,258.0572084402881,15970.741102341792
2445438.49954449,1983.2813129212598,24518.14529694268,0.7265797,47.4799,274.9534,1.2968,325.6223425336548,254.51754834648506,15966.577557803837
2445442.47930554,1983.2922089131832,24518.143562195386,0.726709,47.4667,273.8691,2.3344,322.4516722559383,250.5482912540005,15962.944444835548
2445445.57469752,1983.3006836345521,24517.738579381374,0.7268451,47.4492,273.0342,3.1366,319.0041298770602,247.46469156127944,15958.85647678145
2445449.99628648,1983.3127892853668,24517.18400484727,0.7269632,47.4367,271.8392,4.3056,315.95716569468186,243.08065726795394,15955.17592367799
2445457.9552393,1983.3345797106097,24515.8761484172,0.7272146,47.4055,269.6609,6.3983,309.4367814964435,235.15050418054977,15947.255264524807
2445461.93401485,1983.34547300438,24515.331145301043,0.7273264,47.4026,268.5826,7.4283,306.5472985813576,231.18061842316433,15943.755384584527
2445465.02878003,1983.353946009665,24514.955398396083,0.7274443,47.3897,267.728,8.2385,303.5545290786222,228.08593652065383,15940.193058085662
2445465.91299982,1983.3563668715126,24514.846434486713,0.7274801,47.3873,267.4845,8.4706,302.6471988416761,227.20302625547617,15939.114514723004
2445469.89192905,1983.367260586037,24514.28638776853,0.7276477,47.3755,266.3932,9.4984,298.38598056745104,223.21778902671764,15934.03161770616
2445472.98654808,1983.3757331911845,24513.81610618189,0.727769,47.361,265.5364,10.3177,295.2843724020022,220.13015117360874,15930.309481153083
2445476.96465721,1983.3866246603966,24511.30583866751,0.727912,47.3332,264.4249,11.3733,291.0958830313657,216.15332225726775,15924.649511486823
2445476.96466564,1983.3866246834775,24511.30583866751,0.727912,47.3332,264.4249,11.3733,291.0958830313657,216.1533139481105,15924.649511486823
2445476.9646765,1983.3866247132096,24511.245959561784,0.7279295,47.3293,264.4206,11.3566,290.6506438409542,216.13230324451843,15924.11748395581
2445482.26990446,1983.401149635756,24511.578369060466,0.7281808,47.2874,262.9233,12.769,284.5813230153217,210.8184311278913,15917.249497631083
2445485.80554538,1983.410829693032,24510.43007998398,0.7282726,47.2676,261.967,13.6998,282.01913851583777,207.308110508543,15913.914980145055
2445488.45734054,1983.418089912498,24509.649366445337,0.728361,47.2684,261.2287,14.3952,279.640344251844,204.65153150071586,15910.914595654393
2445488.89930151,1983.4192999356874,24509.454667185593,0.7284194,47.2711,261.1124,14.5005,278.15610418706274,204.20492315252056,15909.140606328023
2445490.22515554,1983.422929926187,24509.168980464132,0.7284086,47.2647,260.735,14.8764,278.34321624082713,202.89662657267058,15909.259875008987
2445492.87680425,1983.4301897446949,24508.24849901268,0.7285549,47.2715,260.0136,15.5525,274.50766463934633,200.23779190982168,15904.534103682337
2445493.76062697,1983.4326095194247,24507.9666021569,0.728566,47.2743,259.7721,15.8012,274.1591066898545,199.37387300711998,15904.037886477652
2445494.64446308,1983.4350293308144,24507.698359986116,0.7286237,47.2733,259.528,16.0189,272.67220244910004,198.4763409067943,15902.23518315063
2445496.41210911,1983.4398688818892,24507.11843322654,0.7286639,47.2517,259.0223,16.4928,271.529637909799,196.70230251987903,15900.724085016278
2445496.8540043,1983.4410787249835,24506.95851174995,0.7286773,47.2608,258.9043,16.605,271.1578521959782,196.26095900596312,15900.242032108128
2445500.8308087,1983.45196662204,24504.721400808034,0.7288027,47.2425,257.7814,17.6928,267.4779811513554,192.3062160656467,15895.250100904213
2445504.80696366,1983.4628527410262,24502.299696857786,0.7289403,47.2106,256.6743,18.7538,263.4497051403623,188.34111323056453,15889.79330804577
