jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2444140.3045869,1979.7270488347706,25836.32342739716,0.735499,60.2237,183.4878,349.5977,455.5970828699765,350.887919482612,16557.817999128685
2444209.13441073,1979.9154946221222,25812.961778244244,0.7332846,60.2237,172.207,352.3838,506.57812586912587,274.5527360360429,16609.723124029326
2445299.59787422,1982.9010208739767,25789.328401594543,0.7203944,60.0335,357.0284,38.8007,832.704341324883,151.00158536838268,16975.5990876834
2445299.5978767,1982.901020880767,25789.328319577133,0.7203944,60.0335,357.0284,38.8008,832.7043183923561,151.0016829239192,16975.59903369616
2445307.70778729,1982.9232246058596,25789.627441412395,0.7205695,60.0107,355.6771,39.169,828.2721907675868,142.0252418905468,16970.707234657053
2445308.66186068,1982.9258367164414,25789.346199388263,0.7206047,60.0025,355.4989,39.215,827.2858181819438,140.95268208110906,16969.498918973237
2445310.56996274,1982.9310608151675,25789.03043664072,0.7206295,59.9966,355.18,39.3117,826.5580275995353,138.84980653968478,16968.57017339684
2445316.77152131,1982.9480397571797,25789.420261504787,0.7207948,59.9772,354.1477,39.5934,822.403941997497,131.98678741533672,16964.019861902598
2445318.67965157,1982.9532639331144,25789.06791758338,0.720872,59.9783,353.8587,39.6559,820.3146496992149,129.87958407880933,16961.54247522458
2445320.58770871,1982.9584879088575,25788.524334226953,0.7209615,59.9669,353.5159,39.7393,817.8548474361869,127.73955281127513,16958.581028832083
2445321.54172539,1982.9610998641756,25788.38352226831,0.7209827,59.9662,353.3534,39.7929,817.2688417477939,126.69034889679608,16957.871545860802
2445324.40378314,1982.9689357512382,25788.570670556797,0.7211416,59.9705,352.8937,39.8891,813.2232554783941,123.50592955422786,16953.36973735955
2445326.78886737,1982.975465755976,25788.671052983467,0.7212273,59.9612,352.4841,39.9956,811.0411588520437,120.85202784864777,16950.940556644924
2445331.55903534,1982.9885257641065,25787.801186409288,0.7214684,59.9557,351.6965,40.2038,804.5812249324772,115.57102492169975,16943.346286646884
2445331.55904324,1982.9885257857352,25787.801924456748,0.7215032,59.9531,351.6865,40.1855,803.6840149950458,115.54271713530733,16942.332779875407
2445332.5130261,1982.9911376484604,25787.658580230676,0.7215812,59.9555,351.5598,40.1809,801.6326567175274,114.4711465542984,16939.965533723094
2445332.51303656,1982.9911376770974,25787.647099657996,0.7215481,59.9488,351.5236,40.215,802.4830314292576,114.46903624495951,16940.92264745791
2445337.75994108,1983.0055029187683,25788.086404681224,0.721878,59.9502,350.7054,40.3601,794.0978670427503,108.62444924341372,16931.592765041703
2445339.66794929,1983.0107267605476,25787.986355970766,0.7219355,59.9427,350.3855,40.4615,792.5872320798344,106.52536620286014,16929.84975830021
2445342.52992417,1983.0185624207259,25787.249961713587,0.7220763,59.9331,349.8831,40.5999,788.751622184298,103.34052853869599,16925.258099575934
2445342.52992593,1983.0185624255437,25787.240859619065,0.7221932,59.9367,349.8912,40.5501,785.7345640400217,103.29882680425595,16921.840080803122
2445342.52992705,1983.0185624286112,25787.24955170916,0.7220762,59.9322,349.8825,40.5977,788.7540869593076,103.33772569997927,16925.26074878866
2445342.52993216,1983.0185624426008,25787.250289717143,0.7220775,59.9327,349.8809,40.5998,788.7207686439115,103.33822066372335,16925.22329500582
2445350.63844174,1983.0407623319372,25787.114415136744,0.7223369,59.9035,348.5088,40.9988,781.9938285615563,94.37316050260063,16917.56138750885
2445360.65456127,1983.0681849726764,25786.389070319932,0.7228142,59.8767,346.8461,41.4135,769.484583567888,83.25300983652198,16903.138224837116
2445361.6084638,1983.070796615469,25786.312652153963,0.722885,59.8716,346.6896,41.4456,767.6377306016457,82.18841843116508,16901.017753828408
2445363.51623064,1983.0760197964134,25785.850711476636,0.7229933,59.871,346.3833,41.5468,764.7171122787959,80.10297329116884,16897.547305022177
2445364.47008588,1983.0786313097324,25785.54825567,0.7230187,59.8652,346.2045,41.6286,763.9783770682088,79.06582849630757,16896.606052401276
2445364.47008881,1983.0786313177555,25785.54825567,0.7230178,59.8653,346.2046,41.6289,764.0015840616379,79.06622560802163,16896.632381894527
2445364.47008884,1983.078631317837,25785.548009707927,0.7230176,59.8654,346.2052,41.6287,764.006673044124,79.06662557864763,16896.638071711477
2445371.62407674,1983.09821786924,25785.334352865084,0.7236711,59.8346,344.9269,41.7983,747.0967778594204,70.90676707362411,16877.363355247726
2445372.57788168,1983.1008292448457,25785.230805496303,0.7237253,59.8296,344.7715,41.8383,745.6706052192494,69.85127185556922,16875.707083749945
2445374.48553077,1983.1060521034085,25784.712018495895,0.7236404,59.8278,344.4489,42.0715,747.716399546719,67.88164277297585,16877.85565310107
2445385.45395581,1983.136082014538,25783.306390995356,0.7239923,59.7761,342.5233,42.625,738.2547953739277,55.698774766273516,16866.619568968214
2445386.40770098,1983.1386932265027,25782.962534503476,0.7241727,59.769,342.3519,42.6053,733.5086418932506,54.56763845905624,16861.102464005275
2445386.407701,1983.1386932265575,25782.96302630433,0.724173,59.769,342.3518,42.6051,733.501042656445,54.567338439320224,16861.093982771024
2445393.5604459,1983.158276374812,25782.58926441484,0.7243903,59.7611,341.2039,42.9776,727.7953923885934,46.74200506768767,16854.471584518305
2445396.42154677,1983.1661096420803,25781.963079677465,0.7244814,59.7457,340.7051,43.1163,725.274072964422,43.56192885112637,16851.387319042133
2445399.28247767,1983.173942443997,25781.08451807114,0.7246809,59.719,340.1647,43.2261,719.8886865392806,40.31152016109979,16844.953184617847
