jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2445777.44484931,1984.2092945908555,24286.77011054671,0.7256935,47.3626,33.2981,0.1791,283.88260532868117,37.67114729201393,15840.526998294736
2445778.31674831,1984.2116817202186,24286.141545455685,0.7256772,47.3635,33.0561,0.4117,284.10604994572986,36.80238072126724,15840.569387729638
2445781.80411548,1984.22122961117,24284.385096358918,0.725595,47.3714,32.0799,1.3617,285.62039236636883,33.33893997883013,15841.70449558234
2445782.67587605,1984.2236163615325,24283.461230111923,0.7255075,47.3811,31.8366,1.6178,287.49168170649773,32.49250984825577,15843.52897526413
2445783.98336019,1984.227196058015,24282.621344564253,0.7254899,47.3847,31.4731,1.9646,287.6885135584671,31.187119114633383,15843.469118486637
2445786.1624557,1984.233162096372,24281.330646326685,0.7254981,47.3801,30.8622,2.5418,287.1350969449022,29.005645306080176,15842.399583757871
2445787.034055,1984.2355484052023,24280.31966978366,0.725469,47.374,30.598,2.7897,287.564139265377,28.130274127140865,15842.546921381305
2445787.90558721,1984.2379345303486,24280.0117629388,0.7254614,47.3796,30.3611,3.021,287.6641373807488,27.265669074476328,15842.556753802643
2445788.77710678,1984.24032062089,24279.444083079547,0.7254606,47.3803,30.1251,3.2472,287.5277109022081,26.396876479579085,15842.20852830124
2445789.64861543,1984.2427066815335,24278.89435118406,0.7254553,47.384,29.8844,3.4748,287.50546597752145,25.524794647941363,15841.996782888355
2445799.66893822,1984.2701408301712,24272.448291704233,0.7252822,47.3869,27.045,6.192,289.93729531074496,15.526301138384873,15842.58779754523
2445805.76641392,1984.2868348088161,24269.20784175588,0.7252202,47.3876,25.326,7.8397,290.55177691611243,9.445168826191079,15842.190177606359
2445807.50831577,1984.2916038761668,24268.08857268557,0.7251965,47.389,24.8378,8.3096,290.81937808399834,7.710004579919939,15842.11594364935
2445809.68551911,1984.297564734045,24267.124270097258,0.725169,47.3924,24.2277,8.9009,291.2217302751005,5.545295743790113,15842.24800226312
