jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2460869.85447014,2025.5300601509646,37458.66108011876,0.8243344,24.2225,199.3062,180.3462,202.06187383570978,268.37074565273093,19550.01993772684
2460869.85447014,2025.5300601509646,37458.66108011876,0.8243344,24.2225,199.3062,180.3462,202.06187383570978,268.37074565273093,19550.01993772684
2460869.87243076,2025.5301093244625,36845.42103043173,0.8287995,24.1369,199.4561,179.113,-70.18179687957308,267.2697431934824,18975.603358613887
2460870.07058903,2025.5306518522386,37458.672341211284,0.8243401,24.2218,199.2665,180.4154,201.85033758993904,268.18723319409264,19549.698225005857
2460870.20547699,2025.5310211553456,37344.57461647,0.8239362,24.2242,199.2265,180.4148,196.8914163592508,268.0136840755956,19513.277042746457
