jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2454171.59876005,2007.1912354826825,50298.93789324936,0.8637111,15.7532,327.3124,323.3958,477.05061663927427,301.4034262342934,22986.182965936674
2454179.3,2007.2123203285416,50297.16068819544,0.8637145,15.646,326.597,324.845,476.6373929710571,294.5466817250299,22985.06709147443
2454201.48443542,2007.2730580025188,50297.733175944006,0.8636451,15.3462,325.3425,328.3013,480.2060774325246,274.88291909320674,22991.52714352377
2454215.77679883,2007.3121883609306,50298.34227896887,0.8637652,15.0726,324.2247,330.8465,474.24830070686767,262.2233900649836,22981.07764842001
2454223.57268875,2007.3335323442848,50298.854236046114,0.8638741,14.9848,323.5979,332.1742,468.84050185059095,255.24045605750348,22971.5794396614
2454236.5659417,2007.3691059321006,50298.587581032225,0.8639571,14.7589,322.747,334.3263,464.62942042760733,243.7351644437481,22964.037294249196
2454266.45168466,2007.4509286369878,50298.798029058045,0.864149,14.2221,320.4676,339.5407,455.0057110455673,217.21399068437358,22946.967444277998
2454285.94437844,2007.5042967239967,50297.83294906785,0.8641883,13.8524,318.9335,343.1196,452.89789912891683,200.04627936118038,22943.010088477393
2454302.83787641,2007.5505486007125,50298.243374720085,0.8641454,13.4025,316.7324,347.1805,455.1114343752497,185.2554037435168,22947.036552848433
2454318.43085231,2007.5932398420528,50297.65344493871,0.8638914,13.1995,315.9897,349.6231,467.80689367578634,171.58645686097702,22969.484617896418
2454331.425598,2007.62881751677,50296.46840932224,0.8636543,12.8174,314.1409,352.8554,479.5708927969281,160.1619939628656,22990.127434805923
2454345.71847648,2007.667949285366,50296.10899135953,0.8635556,12.6039,312.9327,355.5583,484.4861136606569,147.56925726829786,22998.77552884032
2454363.90970226,2007.717754147187,50296.45316115704,0.8629828,12.2563,311.277,359.2104,513.3428820728841,131.63590701268458,23050.005672415617
2454385.9982652,2007.7782293366183,50296.315928190226,0.8627602,11.8697,309.9409,2.7049,524.5200387216419,112.023238817417,23069.75846971772
2454408.0848874,2007.8386992125936,50296.01532591486,0.8616485,11.3025,306.3195,8.7258,580.3928643633071,92.65358346631251,23168.316067547737
2454423.67582329,2007.8813848686923,50296.00007809305,0.8618524,11.0277,304.6126,11.97,570.1354003883689,78.82404727073418,23150.240193773116
2454434.06943315,2007.9098410216286,50296.18131009419,0.861546,10.8329,303.2138,14.4879,585.5711871077783,69.69893221366914,23177.47011835866
2454460.05450881,2007.9809842814782,50296.71107453541,0.8615862,10.3309,299.7144,20.6468,583.6226073285306,46.74685866782937,23174.15446602078
2454480.84416218,2008.037903250322,50296.02578157079,0.8615175,9.8878,296.4053,26.0442,586.983090296374,28.34432988410191,23179.9217877485
2454509.42965016,2008.1161660510884,50296.44706189419,0.8608964,9.3665,291.8012,33.5776,618.2805535189045,3.099021608195528,23235.03574676833
2454530.21945026,2008.1730854216564,50295.73912430536,0.8601762,9.0162,288.2152,39.391,654.4050681690496,344.83544820365006,23298.21928775425
2454557.50549238,2008.247790533552,50295.353145442976,0.8589803,8.6135,283.199,47.3348,714.4993119644232,320.86920792125954,23403.097000730868
2454570.49797791,2008.2833620202878,50295.547876516815,0.8585797,8.5156,280.9183,50.9567,734.6751693613733,309.40467269641294,23438.267744892837
2454587.38883885,2008.3296066772073,50295.90292795689,0.857697,8.3157,277.8273,55.7833,779.1215743570474,294.4921962053768,23515.53469072163
2454605.57784824,2008.3794054708824,50296.99556728268,0.8571614,8.1151,274.1639,61.342,806.2161310368665,278.45993048233083,23562.698938531197
2454619.86906539,2008.418532691006,50296.28978868363,0.8564337,7.9985,271.7082,65.1378,842.7159286890919,265.7142312378137,23625.596314955
2454634.16050202,2008.4576605120324,50295.82930327829,0.8562156,7.8848,268.6674,69.5663,853.6193388742886,253.015915668366,23644.29484653842
2454661.44478247,2008.5323608007388,50296.2640848686,0.8550695,7.7415,262.9749,77.9318,911.3264019520466,228.79681173399194,23743.631435875264
2454678.3335775,2008.5785998015062,50296.90538308197,0.8553318,7.7164,260.2277,82.3579,898.2264673407799,213.82967145771784,23721.285316698093
2454710.81554635,2008.6675305854897,49977.063319173256,0.8536599,7.7214,253.0857,93.1339,935.5121438341448,185.4485892237327,23713.49323169239
2454736.24501679,2008.7371526811498,50296.98903218209,0.8536829,7.5885,249.3654,98.9979,981.1732739206891,162.5283347860418,23863.319764102853
2454751.7297303,2008.7795475162222,49973.247556381575,0.8526846,7.5806,246.6136,103.5764,983.6926530673736,149.0928941600268,23794.699543057442
2454769.70471774,2008.8287603497329,49974.74333434488,0.8518752,7.5998,243.6995,108.3714,1024.3625614511657,133.2571740961469,23864.07295957786
2454787.7161187,2008.8780728780284,49975.14377082568,0.8516043,7.5741,241.2106,112.5195,1037.9601424723169,117.163863909778,23887.197128925745
2454801.86899346,2008.9168213373312,49974.58041815797,0.8509193,7.5839,239.2783,115.9785,1072.1091309452813,104.74111856078787,23944.809664449353
2454819.87832444,2008.9661281983306,49974.90925298412,0.8512857,7.6204,236.5549,120.1766,1053.8473471210546,88.46534860102031,23914.025453240025
2454843.03282074,2009.02952175425,49974.74976527423,0.8512438,7.6664,233.8457,125.1226,1055.9175710330865,67.88046847002897,23917.489692419582
2454857.18199029,2009.0682600692405,49973.02635022441,0.8512077,7.6796,232.0203,128.3699,1057.4652286104947,55.356575073451666,23919.71477685747
2454873.90072654,2009.1140334744423,49973.84688303822,0.851184,7.6913,230.0005,132.0521,1058.7716977462132,40.54054920080762,23922.109617347796
2454900.90553712,2009.1879686163452,49976.38971979116,0.8513665,7.6883,227.1554,137.6833,1050.0294214165779,16.70999811574552,23907.90444638463
2454902.19127449,2009.191488773416,49974.473237180166,0.85156,7.6523,226.9957,137.9342,1040.0745073270245,15.53394157022683,23890.62451365377
2454921.48144889,2009.244302392581,49974.42264795828,0.8516983,7.5773,225.4031,141.5013,1033.1555352107134,358.495538670874,23878.897718415737
2454954.89952419,2009.335796096345,49974.2228646552,0.8515287,7.4473,221.3181,149.1934,1041.6015352050808,329.1649053158138,23893.15248072383
2454972.89146115,2009.3850553351124,49976.523065798225,0.8515096,7.3834,219.6533,152.5986,1042.897600649606,313.1719793595505,23895.86781157026
2454987.02532508,2009.4237517455986,49976.66155793048,0.8515206,7.2943,218.3825,155.294,1042.3684221245849,300.6658715844792,23895.00360198267
2455006.29405121,2009.4765066426007,49973.64710548943,0.8519194,7.1507,216.557,158.9681,1021.9913475691383,283.52270866372385,23859.80559994105
2455025.8,2009.529911019849,49973.58365724361,0.8522896,7.026,215.184,162.309,1003.4817314449174,266.26503285439327,23828.393235401283
2455049.92200275,2009.5959534640656,49974.17227606695,0.8533845,6.8094,212.841,166.9605,948.8519553416945,244.79825293636168,23735.595437052238
2455063.12039877,2009.632088702998,49973.79458056856,0.8538256,6.6993,211.5943,169.558,926.7531385378625,233.14036692065406,23697.806718953256
2455079.86937771,2009.6779449081723,49973.35858907699,0.8546814,6.5067,209.8612,173.0663,883.9222074626414,218.40733305797926,23624.44929951719
2455105.6135584,2009.7484286335387,49972.93461040449,0.855585,6.1468,206.6606,179.0492,838.7050517615626,195.8154919261209,23546.74842698754
2455150.60870052,2009.8716186188087,49974.65158664472,0.8571299,5.539,200.8278,189.7283,761.7471696490902,156.31339722885264,23414.41321065315
2455158.43261247,2009.8930393222995,49971.69273473781,0.8572763,5.5006,197.9481,193.5091,754.0085823648988,149.50304397218696,23400.368513987727
2455181.5436384,2009.9563138628332,49973.947201272815,0.8579991,5.0255,195.309,198.6117,718.2091791332195,129.18770938007208,23338.817685884478
2455193.15934016,2009.9881159210404,49973.55622022672,0.8581111,4.839,193.1489,201.9973,712.5566211761261,118.96446842549437,23328.918098636306
2455213.98307689,2010.0451282050376,49974.08867656186,0.8590082,4.4835,188.727,208.6169,667.8004158680751,100.63774618644868,23251.17874416674
2455225.29323552,2010.076093731745,49973.36201866814,0.8596175,4.304,186.118,212.4565,637.2491935856779,90.72075657176111,23197.714268526222
2455239.96270281,2010.1162565443117,49975.67455445542,0.8608692,4.0674,182.0723,218.0368,575.0192813010262,77.79674404780314,23089.237780176005
2455245.94828913,2010.1326441865294,49978.07054480587,0.8608251,3.9806,180.3787,220.3528,577.5566702663018,72.51959284939687,23094.213945213694
2455256.09927795,2010.1604360792605,49966.62229307657,0.861252,3.8588,177.3377,224.5184,554.6326099197877,63.63911146622564,23051.448794956465
2455264.9669363,2010.1847144046544,49975.55407648236,0.8613336,3.7484,174.3655,228.4564,551.793871791132,55.86471432439305,23048.397567186534
2455270.44794928,2010.199720600356,49973.730274440975,0.8622512,3.6341,171.6145,231.8314,505.6850768279155,51.08648387183831,22966.749440722975
2455274.22449057,2010.210060206899,49973.75985523397,0.8624458,3.6079,170.3748,233.5148,495.96425787882254,47.80792551631612,22949.587387904838
2455279.89029041,2010.2255723214505,49974.00979324689,0.8624927,3.5342,167.9366,236.6024,493.654856842938,42.8729642778228,22945.560670578256
2455282.13585198,2010.2317203339635,49973.24798507806,0.8629905,3.5237,167.2515,237.5593,468.6734198115528,40.931479773121964,22901.204895365212
2455285.94182492,2010.2421405199727,49967.18799289263,0.8628574,3.4906,165.5927,239.6407,474.4937760340763,37.60281280984685,22910.20122077566
2455293.09025874,2010.261711865133,49971.5277001138,0.8634088,3.4112,161.74,244.3069,447.5346343917854,31.370628552060452,22863.370935948613
2455298.75102031,2010.2772101856535,49952.69355886997,0.8633029,3.3613,158.7258,248.0136,450.2520466862052,26.48373316470048,22864.134950724507
2455303.89470524,2010.2912928274884,49961.57198903718,0.8632899,3.3472,156.7312,250.6244,452.1152027784683,22.03018210416542,22869.350280678245
2455313.84605479,2010.3185381376868,49977.32144538461,0.8637711,3.2908,151.4537,257.0556,430.21922545115467,13.375570432779455,22833.880941286625
