jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2456631.60594422,2013.9263680882134,46578.50663600926,0.8539746,20.4709,242.885,179.2548,423.5087629259051,168.18728824314445,22075.890805219664
2456633.06399919,2013.9303600251608,53786.77255036482,0.61367,6.1909,242.8341,179.9014,14401.307539382438,167.345890942099,41058.4929837272
2456634.46478554,2013.9341951691717,46235.26980174865,0.853523,20.4572,242.277,180.3584,394.26731475073484,165.86513909814119,21948.857540851393
2456635.6038158,2013.9373136640659,46234.392688715765,0.853584,20.4397,242.1309,180.6297,391.31853991100706,164.86768093630093,21943.63027713674
2456636.0868563,2013.9386361568788,64256.07829328931,0.3432291,1.1862,242.0464,179.8947,35823.386071154084,163.5720835236034,59814.6997034914
2456652.69486112,2013.9841063959482,46225.39735766521,0.8542706,20.1512,239.8603,184.7361,358.2631216941372,149.85809745864992,21885.143057868387
2456657.24979079,2013.9965771137304,46231.48915899164,0.8545305,20.1567,238.9476,186.1949,347.1353122139353,145.91473905705976,21867.46358671851
2456661.80180553,2014.0090398508698,46223.33510343426,0.8546919,20.0566,238.3595,187.1863,338.48869954333804,141.83145368685757,21850.828363313176
2456662.94154054,2014.012160275264,46223.17636948471,0.8547022,20.0354,238.2186,187.4502,337.9895354981172,140.83110090494085,21849.937585178814
2456667.49984144,2014.0246402229707,46223.59049158204,0.8549188,19.9447,237.6056,188.5647,328.0376768273136,136.83981973059258,21832.971296998272
2456672.06006216,2014.0371254268578,46218.8565073704,0.8549447,19.8109,237.1105,189.5156,326.1537963335659,132.80094633121877,21828.68236133748
2456674.3391569,2014.0433652481863,46219.46626343079,0.8551024,19.8194,236.6765,190.1705,318.9534348520874,130.7755106529114,21816.465918316295
2456675.47693661,2014.0464803192606,46219.1795450918,0.855123,19.8038,236.5181,190.4394,317.9597749542663,129.76458506616882,21814.69659951242
2456677.75811855,2014.0527258550303,46220.66291085055,0.8552196,19.6945,236.3097,190.9095,313.7097644981086,127.77789218908174,21807.73246132994
2456677.75812502,2014.0527258727452,46219.30615202659,0.8551161,19.7525,236.3156,190.9249,318.2970305996032,127.79918581172126,21815.303676773146
2456682.3175789,2014.0652089771393,46218.02918977568,0.8552804,19.6718,235.6941,192.0325,310.5183971326587,123.79136822984219,21801.66473594892
2456683.45743775,2014.0683297405885,46217.03829117226,0.8553253,19.6501,235.5341,192.3131,308.299849663862,122.78849338813762,21797.63339314684
2456685.7368751,2014.0745704999317,46219.020846815896,0.8555844,19.5324,235.192,192.8805,296.61132700542476,120.76712002458021,21777.9893772281
2456689.15731173,2014.0839351450516,46217.947024277775,0.8557355,19.4861,234.7249,193.7082,289.4727184839221,117.75644778143374,21765.47292292172
2456692.5786858,2014.0933023567422,46216.34927768449,0.8558561,19.4326,234.2484,194.5493,283.66852864762404,114.74885157281722,21755.129608319043
2456693.71898387,2014.0964243227104,46216.60703765627,0.8565558,19.3574,234.0494,194.8842,251.36792323097416,113.76084382423016,21699.516570106323
2456693.71898398,2014.0964243230114,46217.64939780602,0.8561553,19.3878,234.048,194.8842,270.02761233258934,113.7594437159139,21731.927085064326
2456695.99857483,2014.102665502615,46216.46070289476,0.8562121,19.3523,233.7106,195.4696,267.23152990175913,111.7606190586032,21726.844177372288
2456699.41919255,2014.1120306435312,46215.62467759105,0.8564795,19.2789,233.21,196.3342,254.75326154020786,108.75316832876683,21705.140283919594
2456701.70001607,2014.1182751980018,46215.73821402606,0.8566092,19.2352,232.8938,196.9015,248.77537509976992,106.75622871935252,21694.848880651258
2456703.98160726,2014.1245218542374,46215.9021731519,0.8567207,19.1907,232.5539,197.4937,243.64581223768346,104.75973247456398,21686.028490693356
2456708.54597305,2014.1370184067075,46214.630734661776,0.8566539,19.1134,231.9365,198.533,246.5507787539018,100.68287358527215,21690.76264509487
2456709.6867417,2014.1401416610538,46212.489302457674,0.8567042,19.1465,231.7978,198.8093,243.9193245871129,99.6961020206025,21685.743856510424
2456716.53163009,2014.1588819441204,46210.357283199315,0.8569827,18.956,230.7309,200.6115,230.74423067850148,93.68490011665972,21662.50701743344
