jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2440218.17986111,1968.9888565670367,23622.921984647328,0.7226298,25.994,266.1449,60.6619,174.15829546602617,50.35843586677373,15489.910361966648
2440245.5,1969.0636550308009,23333.48825655002,0.7197,25.924,254.67,79.758,162.2404583109701,31.052188911704548,15377.301149480172
2440258.875,1969.1002737850788,23124.575011656325,0.71712,25.894,248.8789,89.4009,163.34347929734122,21.721237371662653,15306.482924822963
2440272.68055555,1969.1380713362078,22938.49882698624,0.71478,25.908,242.764,99.604,164.38233543301612,12.202318965175039,15243.07692850889
2440300.45833332,1969.2141227469403,22610.86666609801,0.7097899,25.953,230.1183,120.777,183.76557625497026,353.35111110145397,15149.766346677086
2440300.45833333,1969.2141227469685,22610.86660706445,0.70979,25.953,230.127,120.777,183.76329803617318,353.3598110913549,15149.763830428585
2440322.91666665,1969.2756103125262,22466.490504232577,0.7071799,25.968,220.678,136.7398,200.50369609843438,337.73808749054916,15117.040066690479
2440344.02083332,1969.3333903718549,22389.05172775834,0.7055199,25.977,211.76,151.8428,214.99389169544884,323.1222661322548,15105.277069550566
2440347.66458331,1969.3433664156332,22380.316314500462,0.7050199,25.96,209.69,155.4458,223.61164448297677,321.06389037205554,15111.496008994198
2440362.33333332,1969.3835272643942,22324.05438375301,0.70383,25.93,203.2059,166.3929,233.57888683612964,311.0689848180848,15102.196451293355
2440391.78125,1969.464151266256,22278.508246437355,0.070287,25.868,190.2519,188.267,14334.482437320012,290.964444147844,22215.54912347374
2440407.53506943,1969.5072828731822,22259.255895743976,0.0702919,25.859,183.1112,200.328,14316.474206245932,280.3573656544261,22196.342399647525
2440435.71527777,1969.5844360787682,22215.97931425777,0.0702279,25.9039,170.5701,221.707,14277.661440574006,261.420111643464,22153.302545493225
2440490.55972222,1969.7345919841755,21897.755894681282,0.0695369,25.829,145.4224,263.911,13996.917532808418,224.4202856968609,21837.18792532759
2440514.27361111,1969.7995170735392,21439.19388160222,0.0695518,25.827,133.9784,283.1459,13569.9230565878,208.8381535259109,21379.868827177506
2440584.875,1969.9928131416839,17708.969126221426,0.0633429,26.028,92.4695,352.7619,10209.095365756095,167.35866899383961,17668.331805114023
2440608.1041,1970.0564109514034,17047.159240458226,0.0617299,26.032,75.6415,21.4159,9616.703505260664,156.28945749475528,17010.009118796042
2440654.23611111,1970.1827135143328,16312.80882894059,0.5992388,26.105,39.3754,82.71,159.40454165682604,135.8485348401719,12651.096468975617
