jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2445930.24937291,1984.6276505760707,63520.808411179845,0.8908909,28.6769,6.1747,0.4303,552.5619370162603,220.19079261459362,25776.112222155945
2446099.48090372,1985.0909812559069,63587.33524312666,0.8819661,27.7873,354.7124,20.5957,1127.3248693536898,62.09484787349339,26915.955315581043
2446112.45348074,1985.1264982361124,63588.35387798865,0.8822743,27.4913,353.4821,22.3075,1107.847172133931,49.79023499951194,26878.71797487345
2446114.29934001,1985.131551923368,63586.65643685726,0.8830408,27.4656,353.387,22.4763,1058.9081675296775,48.044607587527025,26784.091154510414
2446116.14505645,1985.1366052195751,63586.47714733759,0.8829923,27.4362,353.2247,22.7018,1061.9711421125348,46.288620952961026,26789.96742812591
2446117.99252652,1985.141663316961,63583.92730176101,0.8831934,27.4251,353.0797,22.856,1048.886062765876,44.4769058940019,26764.207050102817
2446123.53437705,1985.156836076797,63582.04072149917,0.883519,27.4356,352.7488,23.3751,1027.963385280941,39.202912353064164,26723.396815130272
2446149.39231282,1985.2276312465983,63582.40315323725,0.8838762,27.1382,350.6515,26.5759,1005.2939672858911,14.820151224571646,26679.58038727683
2446156.78123456,1985.2478610118003,63583.408282531745,0.8839335,26.9256,350.2734,27.2517,1001.7673574244682,7.835135751882376,26672.9421012846
2446156.78124613,1985.2478610434769,63583.408282531745,0.8839335,26.9256,350.2734,27.2517,1001.7673574244682,7.835124348364047,26672.9421012846
2446156.7812577,1985.2478610751546,63583.408282531745,0.8839335,26.9256,350.2734,27.2517,1001.7673574244682,7.835112944385514,26672.9421012846
2446156.78126927,1985.247861106831,63583.40906535821,0.8839335,26.9256,350.2734,27.2517,1001.7674482843959,7.835101540866276,26672.942429676637
2446156.78128085,1985.2478611385354,63583.40906535821,0.8839335,26.9256,350.2734,27.2517,1001.7674482843959,7.835090127250737,26672.942429676637
2446156.78129242,1985.2478611702118,63583.40906535821,0.8839335,26.9256,350.2734,27.2517,1001.7674482843959,7.835078723731499,26672.942429676637
2446156.78131556,1985.247861233566,63583.40906535821,0.8839335,26.9256,350.2735,27.2518,1001.7674482843959,7.835255916234701,26672.942429676637
2446156.78131557,1985.247861233594,63583.40906535821,0.8839335,26.9256,350.2735,27.2518,1001.7674482843959,7.835255906136581,26672.942429676637
2446156.78131557,1985.247861233594,63583.40906535821,0.8839335,26.9256,350.2735,27.2518,1001.7674482843959,7.835255906136581,26672.942429676637
2446156.7815702,1985.2478619307321,63583.40906535821,0.8839335,26.9256,350.2734,27.2517,1001.7674482843959,7.834804936465957,26672.942429676637
2449808.78124613,1995.246492118083,63583.408282531745,0.8839335,26.9256,350.2734,27.2517,1001.7673574244682,8.327937490047702,26672.9421012846
2449808.78131557,1995.2464923082005,63583.408282531745,0.8839335,26.9256,350.2734,27.2517,1001.7673574244682,8.327869047820855,26672.9421012846
2450547.5,1997.2689938398357,63586.96569467569,0.8843992,22.0586,280.0838,334.4427,972.567803877062,237.2287176591376,26616.98231903202
