jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2443444.50000005,1977.8220396989727,75467.0242882568,0.910967,28.962,57.547,310.988,340.9192734563694,152.14070836978146,27429.42891858816
2443477.26144444,1977.9117356452844,75524.1137861198,0.905211,30.409,53.034,315.973,780.7189216725101,120.3221676976313,28401.636493667596
2443607.50000005,1978.2683093772753,75512.05145926171,0.909682,37.06,38.151,332.653,441.96116369759966,353.7526241808691,27660.819963214763
2443684.50000005,1978.4791238878845,75486.25812497643,0.89706,40.12,32.699,338.725,1392.4191113850766,278.479400361568,29684.77380526284
2443706.82817361,1978.5402550954414,75501.66099705399,0.895414,40.819,31.411,340.086,1518.280417037885,256.5451656411503,29946.338361958435
2443719.50000005,1978.5749486654342,75469.87181540174,0.896815,41.206,30.722,340.772,1409.2224232722265,244.05248044370302,29716.479108482217
2443723.0,1978.5845311430528,75472.48889366399,0.896758,41.221,30.619,340.844,1413.7943983596533,240.5717885010265,29726.37866156497
2443740.50000005,1978.6324435319639,75469.54259389012,0.899051,42.251,29.35,342.148,1240.4385553106104,223.35832849298413,29366.415955410805
2443775.5,1978.7282683093772,75484.80710778318,0.899812,44.012,27.288,344.562,1184.5355545145858,189.21340862423006,29252.319731782398
2443796.5,1978.7857631759068,75479.41238786039,0.899047,45.1615,26.0467,346.0215,1241.7368187916663,168.73345667351106,29370.886103844634
2443810.5,1978.8240930869267,75491.33302593722,0.897325,45.6032,25.3889,346.8249,1372.936318438101,155.08028870636508,29645.441155435365
2443880.5,1979.015742642026,75475.37178745994,0.885486,46.7329,22.876,349.4309,2264.850424869188,86.1795488706361,31433.657473629173
2443898.5,1979.0650239561944,75472.01785089816,0.884936,47.1362,22.1878,350.0277,2305.9759619957495,68.34687577001995,31513.18442027386
2443912.08333333,1979.1022130960444,75485.0006528566,0.886863,47.5444,21.7267,350.4434,2162.0102188622404,54.91338542400416,31234.11823523182
2443915.5,1979.1115674195755,75479.37512821809,0.887032,47.6306,21.5525,350.5467,2148.617749484538,51.474928952772075,31206.7202307306
2443936.5,1979.1690622861054,75479.9208062836,0.889589,48.2164,20.6778,351.5747,1955.677236142581,30.93007700205311,30825.174762723484
2443943.5,1979.1882272416153,75496.91147151959,0.889622,48.8401,20.4438,351.7958,1955.0617944033875,24.01779301848012,30827.155032488667
2443956.5,1979.2238193018482,75473.91047799989,0.889948,49.531,19.9461,352.4583,1927.9184959248469,11.369451334701466,30768.751755570738
2443964.5,1979.2457221081452,75498.4881493867,0.889625,49.747,19.7066,352.8405,1955.0093294885573,3.6271410677611584,30827.34800308892
2443971.5,1979.2648870636551,75484.75301155592,0.889316,49.8737,19.4765,353.0594,1976.8181023310553,356.71655708418814,30868.132203726014
2443982.5,1979.2950034223136,75503.47128125027,0.887494,50.2226,19.0056,353.7052,2116.457239968342,346.04956796714504,31148.02382660551
2443992.5,1979.3223819301847,75506.37878866591,0.886091,50.2398,18.8308,354.0327,2222.7198014381484,336.3460051334701,31357.27522409874
2444020.5,1979.3990417522245,75520.44270885846,0.883881,50.268,18.0531,354.9261,2391.2219869099335,308.86416919917815,31688.15527892223
2444041.5,1979.4565366187542,75520.50409041742,0.878235,50.3227,17.4711,355.3962,2817.617880569678,288.0541172484592,32503.851435743098
2444105.92951103,1979.6329350062429,75488.79486769164,0.8800638,51.3196,15.759,356.7762,2675.7028990104427,224.2185977525703,32228.37579715438
2444117.8866259,1979.6656718026009,75505.35144542124,0.8801731,51.609,15.3775,357.2601,2669.4358971153433,212.53575106372045,32219.72461374691
2444125.05829228,1979.6853067550444,75492.98156037566,0.8821453,51.9996,15.1797,357.5132,2519.066393903604,205.5224681840309,31929.515108175183
