jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2441300.95891098,1971.9533440410125,26204.069982619432,0.739427,65.4254,180.4934,284.834,449.9368275810948,201.66354523552025,16672.05387343478
2441333.69520541,1972.042971130486,26205.08558301173,0.738921,65.425,175.8139,283.9026,463.46123892711785,163.78689302504017,16688.418352253357
2441340.04718375,1972.0603618993846,26203.38076541799,0.7386519,65.4192,174.8951,283.8083,470.0674766185366,156.51311622157266,16695.68249929142
2441344.44427703,1972.0724004846816,26202.26215355067,0.7383349,65.4791,174.2918,283.6009,478.0812466350508,151.368525514628,16704.797551715124
2441345.909958,1972.0764133004786,26202.002978990648,0.7382929,65.4744,174.1075,283.5938,479.1139138230028,149.7325118276833,16705.93376880077
2441347.86423308,1972.0817638140447,26202.6638569146,0.7382109,65.4767,173.8207,283.5207,481.4354887042018,147.44642694390376,16708.895689363624
2441349.8185568,1972.0871144607804,26203.23840397045,0.7383119,65.4858,173.5451,283.4211,478.9393717820585,145.1449941190778,16706.13269386575
2441351.77292424,1972.092465227215,26203.598749463028,0.7382789,65.4595,173.2546,283.4087,479.89838866808896,142.91581820266572,16707.385013348434
2441351.77293244,1972.0924652496647,26203.640059401485,0.7383469,65.4691,173.2561,283.3636,478.12735282658196,142.8722101206975,16705.3041182134
2441355.68188266,1972.103167372101,26205.035901833082,0.7383189,65.4692,172.7035,283.2812,479.22632033117316,138.38444604362576,16707.061772107627
2441362.03399045,1972.1205584954146,26205.710971387867,0.7383359,65.464,171.7982,283.1284,478.9574761883305,131.06554165072453,16706.965292576944
2441363.98840594,1972.125909393402,26205.069961584813,0.7386589,65.4296,171.488,282.9575,470.3255093375328,128.65811837523887,16696.541646254205
2441365.45405957,1972.1299221343465,26203.785157583006,0.7386679,65.4456,171.2552,282.8943,469.753903179997,126.91753163522344,16695.443865494242
2441367.89685429,1972.1366101417927,26202.638851348263,0.7369489,65.4409,170.9221,282.9944,514.4966727498968,124.27684895460578,16747.90749421736
2441369.36251931,1972.1406229139216,26202.203098395003,0.7373907,65.4881,170.7606,282.8639,502.8059141273434,122.54025098823342,16733.98175745224
2441371.31675986,1972.1459733329505,26202.227164184165,0.7375217,65.5182,170.5177,282.8011,499.3797422688822,120.30840013784746,16729.94735117302
2441374.73674914,1972.1553367532924,26202.898639049545,0.7374129,65.5298,170.0341,282.7026,502.40686522196575,116.35546881470566,16733.739749903307
2441375.71392539,1972.1580121160575,26203.216213511332,0.7374429,65.5107,169.8833,282.6795,501.70415969251553,115.21843821926484,16733.01516722256
2441380.11145198,1972.170051887694,26204.906322134946,0.7374829,65.5023,169.2604,282.568,501.09971345853046,110.149720430201,16732.85772552903
2441384.02046791,1972.1807541900341,26205.640799007313,0.7375439,65.5214,168.7252,282.446,499.6939821083424,105.6396915876951,16731.44040277512
2441385.97498063,1972.1861053542232,26205.80692562236,0.737487,65.4964,168.4299,282.4288,501.2286934659023,103.40077247969134,16733.30602006607
2441387.92929759,1972.1914559824509,26204.674397254348,0.737725,65.4643,168.1147,282.2707,494.69467753988465,101.0012463177053,16725.22154340191
2441388.90644637,1972.1941312700064,26204.338341488256,0.737902,65.473,167.9832,282.189,489.96837062738996,99.8249427977035,16719.529414267316
2441390.8608073,1972.1994820186176,26203.72285047075,0.737761,65.4768,167.7192,282.2031,493.5017765845987,97.6487732976637,16723.500360732072
2441391.83783506,1972.202156974839,26203.03493628945,0.73656,65.456,167.5562,282.2802,524.7912236160928,96.59988905793927,16760.160512910832
2441393.30344367,1972.2061695925252,26202.44572162891,0.736713,65.5196,167.4181,282.1419,520.6270267105119,94.87894669094987,16755.064316083986
2441395.7462029,1972.2128575028064,26202.049488276847,0.736647,65.5136,167.0757,282.0684,522.2520388861712,92.05539898966026,16756.846942549197
2441398.67753419,1972.220883050486,26202.137216446376,0.7366729,65.516,166.6652,281.9846,521.5965070088969,88.67190182504498,16756.104113638812
2441400.63185001,1972.2262336755914,26203.01744030164,0.7367039,65.4984,166.3893,281.943,521.0160002634047,86.42817678707064,16755.710652608377
2441402.58634612,1972.2315847943055,26204.611401982358,0.7367239,65.5046,166.1097,281.8831,520.9115919294482,84.162274049997,16756.112836784658
2441407.96107825,1972.2463000088976,26205.324004728034,0.7367234,65.5031,165.3618,281.7571,521.1123058631802,77.99089679686267,16756.58392701553
2441409.91550512,1972.2516509380425,26205.42482127061,0.7367173,65.5021,165.0867,281.7115,521.2987015911431,75.74386230465899,16756.83661304683
2441410.89279201,1972.2543266037242,26205.63593305674,0.7367191,65.4851,164.9404,281.6937,521.3071135275186,74.6165226593373,16756.91606609999
2441413.82425864,1972.2623525219437,26203.909516858246,0.7370649,65.4453,164.4789,281.5454,511.7912692060736,71.11739210026184,16745.13778603789
2441415.77843131,1972.2677027551263,26202.784618424568,0.7368529,65.4486,164.2,281.4575,517.0504842630307,68.82450815455985,16750.963988789157
2441418.22118538,1972.2743906512803,26202.156503087946,0.7362389,65.4771,163.8923,281.4269,532.9733216266295,66.0785655390938,16769.49651128893
2441419.68683259,1972.2784033746475,26201.972769399727,0.7361809,65.4797,163.6894,281.3731,534.4445742475427,64.37728512687136,16771.165823965526
2441422.12954246,1972.2850911497883,26201.668630233853,0.7361869,65.4869,163.3461,281.3097,534.207126514747,61.562986076190555,16770.78631606279
2441423.59526978,1972.2891040924849,26202.296630991925,0.7362199,65.4725,163.137,281.2598,533.508125552712,59.85932670540706,16770.17159703088
2441425.54955046,1972.294454621383,26202.766098724587,0.7362569,65.4693,162.8621,281.2146,532.6624594525292,57.61303630207516,16769.332024628246
2441429.9467234,1972.306493424778,26203.294136369175,0.7362499,65.4684,162.2454,281.1104,532.9851487967835,52.5581670799354,16769.885657149367
2441430.92422053,1972.309169666064,26204.643838524993,0.7362259,65.4697,162.1102,281.0879,533.970044327476,51.43702021698516,16771.488995255506
2441433.85585628,1972.3171960473096,26204.997147262708,0.7362339,65.4493,161.7008,281.0243,533.8535980446104,48.07452296853296,16771.468608492673
2441436.78748173,1972.3252224003556,26205.10786279203,0.7361696,65.4631,161.2992,280.9312,535.5677894835662,44.69033587199522,16773.520658118356
2441438.74180315,1972.3305730407944,26203.755625672668,0.7361859,65.437,161.0083,280.872,534.783907006773,42.414005314012,16772.152938804324
2441441.67309523,1972.3385984811225,26202.274357186463,0.7359929,65.4116,160.5594,280.7549,539.4501664451636,38.95884679588016,16777.149010625035
2441447.53565422,1972.3546492928674,26201.76258474114,0.73593,65.4058,159.7615,280.5788,540.9631457525938,32.20655456775438,16778.757859381014
2441449.48994382,1972.3599998461877,26202.555300758937,0.735847,65.4406,159.5066,280.5277,543.3472903613747,29.974355372433536,16781.820418528383
2441454.37589258,1972.373376844846,26204.12042741677,0.735884,65.4426,158.8313,280.4154,542.7911708076072,24.37103585542019,16781.68388653394
2441455.84182718,1972.3773903550439,26205.04256012171,0.735879,65.447,158.6312,280.3727,543.1657460219076,22.683372184208906,16782.42836328826
