jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2451224.78382572,1999.1232958951955,54821.22954045954,0.8788762,22.7734,355.2429,180.7421,262.01934261271344,211.13847772958223,23528.440620472673
2451224.83706965,1999.1234416691311,54825.96624975868,0.8788658,22.8231,355.1223,180.8637,263.1632608915161,211.0869991127583,23531.55359951424
2451224.83706972,1999.1234416693226,54819.50425984673,0.8788785,22.7551,355.2837,180.7072,261.6842852090258,211.09189904391314,23527.461319230337
2451225.625,1999.1255989048598,54700.63199592893,0.8785791,25.6289,350.8948,184.7499,263.66366751449004,209.9690942505133,23507.44611113656
