jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2456581.95213006,2013.7904233540319,17661.623993782945,0.6294854,5.6913,121.1086,252.3981,165.75324940689097,168.49429254849122,13237.48183596106
2456585.43595473,2013.7999615461465,17637.232024639317,0.6289578,5.6905,118.3965,257.7748,166.02107233262632,167.72514338724346,13227.505073319333
2456586.51277152,2013.8029097098422,17630.157347251363,0.6288108,5.692,117.5568,259.4414,165.98770160035565,167.490704456839,13224.510351359666
2456587.88838913,2013.8066759455992,17620.93128920069,0.6286169,5.6955,116.5052,261.5527,165.9797870703478,167.19455958427284,13220.635408381644
2456588.96857834,2013.8096333424778,17614.354858135794,0.6284776,5.7023,115.6414,263.2439,165.99109134626997,166.95729670798858,13217.887509492148
2456589.2417618,2013.8103812780284,17612.317160753068,0.628501,5.6523,115.4905,263.5972,164.8219129026038,166.89043990974818,13215.991252736858
2456590.85550687,2013.8147994712388,17602.422395567915,0.628295,5.6637,114.1754,266.1599,164.77211654457096,166.54749035403916,13211.796099333595
2456593.00633255,2013.8206881110204,17589.958019202066,0.6279472,5.6969,112.4796,269.5094,166.2568329265814,166.08128003265983,13207.886033944516
2456593.51229985,2013.8220733739906,17586.791959931223,0.6278766,5.6972,112.0817,270.2969,166.32051922227038,165.97218536333457,13206.613281249494
2456594.88016513,2013.8258183850237,17577.784132957317,0.6276912,5.6998,111.0003,272.432,166.22741720037902,165.67768139147444,13202.747204952631
2456596.49358274,2013.8302356816973,17566.48929090148,0.6274725,5.6998,109.7304,274.9436,165.8640393163014,165.3291545889506,13197.678508164528
2456598.90475333,2013.8368371069957,17547.64768058693,0.6270574,5.6993,107.8078,278.7338,166.12904988205992,164.82024148156364,13189.99240086145
2456599.97642505,2013.839771184257,17539.812686417154,0.6268916,5.7023,106.9557,280.4159,166.11514772880582,164.59397366752233,13186.684164619113
2456600.48307528,2013.8411583169889,17536.59755612791,0.6268124,5.7032,106.5516,281.2111,166.30445413723828,164.4857058839841,13185.499319668674
2456602.1331738,2013.8456760405204,17524.572776029498,0.6265383,5.7044,105.2423,283.7988,166.62044070969569,164.13772541265882,13180.718222117284
2456604.24787234,2013.8514657695825,17511.10387849946,0.6262467,5.6953,103.4687,287.2237,166.69656123197092,163.7047229502815,13175.113372132784
2456605.84992031,2013.8558519378785,17500.794358601437,0.6260251,5.7066,102.2847,289.6394,166.7215201785366,163.3574023637819,13170.791538181154
2456607.41986166,2013.8601502030388,17490.284950908295,0.625783,5.7032,101.0048,292.1366,167.0256634740499,163.02732690607945,13166.630599439828
2456608.48791005,2013.863074360164,17483.058139361263,0.6256277,5.708,100.1644,293.8081,167.03638666639654,162.80573034089429,13163.59249795474
2456610.37482152,2013.8682404422175,17470.120210838075,0.6253614,5.7156,98.6771,296.7645,166.8450776200816,162.4150408016975,13157.965084721844
2456612.49966462,2013.8740579455716,17454.9539538703,0.6250452,5.7251,96.9107,300.1816,166.68246878264745,161.97143959422078,13151.419442989865
2456613.03224884,2013.875516081698,17451.16229400203,0.6249036,5.7114,96.5673,300.9696,167.73185229590308,161.8911105887127,13150.744969812282
2456615.39185032,2013.8819763184672,17434.424861570715,0.624565,5.7135,94.6781,304.6924,167.35699790380022,161.3990253517968,13143.342493996597
2456615.95546509,2013.8835194116084,17431.02531756312,0.6244907,5.711,94.217,305.596,167.37581528040482,161.28601182094906,13141.922199711304
2456616.4908187,2013.8849851299105,17427.60609322414,0.6244172,5.7156,93.8039,306.4246,167.372793790184,161.17385323220861,13140.474114352077
2456617.51764703,2013.887796432662,17420.755600733304,0.6242452,5.7138,92.9478,308.0843,167.79623660242305,160.9653842416443,13137.950861607284
2456619.36348147,2013.8928500519369,17410.210910694404,0.6240018,5.7167,91.4824,310.9964,168.07166404145573,160.59278130275027,13133.73314058599
2456620.42601635,2013.895759113894,17404.36069077804,0.6238724,5.7179,90.6407,312.6711,168.1241161566868,160.3785189981332,13131.303778990763
2456621.48747247,2013.898665222368,17398.431648182675,0.6237314,5.7195,89.7851,314.3595,168.3472184573866,160.16511994751403,13128.990662463691
2456622.54544183,2013.9015617846135,17392.86173566418,0.6236065,5.7212,88.9493,316.0268,168.4238037027162,159.95385753915536,13126.69990259295
2456623.09023145,2013.9030533373027,17389.734859512206,0.6237279,5.719,88.5174,316.8793,165.13575403186223,159.83749857103044,13122.481585471929
2456623.88795355,2013.905237381383,17386.025431715774,0.6234427,5.7205,87.8504,318.1837,168.69849429822625,159.68864270217102,13124.046476328745
2456625.47890353,2013.9095931650381,17377.759255805264,0.6232712,5.7222,86.5677,320.7151,168.56609112840943,159.36926058628438,13120.42817798168
2456626.5035539,2013.9123985048595,17371.58757009314,0.6231345,5.7242,85.7394,322.3523,168.61573539693563,159.16823825057605,13117.856512292083
2456627.8436601,2013.9160675156738,17362.50640797895,0.6229404,5.7263,84.6538,324.4961,168.56342118998145,158.9055943573909,13113.961060365824
2456628.90040909,2013.918960736728,17355.900367284703,0.6227787,5.7279,83.7951,326.1896,168.87899921761255,158.6988347779543,13111.43706599472
