jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2441790.69925669,1973.2941800320061,26169.43654504598,0.7381038,65.4857,338.0561,284.7269,475.5396872886713,236.41818847781417,16691.02046802393
2441801.1554192,1973.3228074447643,26554.157696999308,0.7422205,65.46,336.5043,284.3986,466.98119405363377,224.23221988482055,16806.45985309033
2441826.07624462,1973.3910369462565,26553.723063870577,0.7418757,65.4318,332.8975,283.9354,476.0248782554472,195.59959934770507,16817.124405211965
2441831.06035186,1973.4046826881856,26553.643833032475,0.7418749,65.4317,332.2038,28.3223,476.0256697658906,294.3803322531957,16817.099596174827
2441835.04753331,1973.4155989960575,26553.38832201746,0.7424375,65.4292,331.586,283.6365,461.02077968962294,185.14686141928382,16799.082781850735
2441838.03797054,1973.4237863669819,26553.390615942597,0.7422469,65.4358,331.1267,283.631,466.08244677011226,181.73460788654108,16805.136333070994
2441846.01239589,1973.4456191537029,26553.226954449976,0.7422699,65.4755,329.9664,283.4517,465.4295382930868,172.53520466697705,16804.30261212525
2441851.99317131,1973.4619936243944,26553.166695894084,0.7421914,65.477,329.1033,283.3214,467.49843143508133,165.64699521801822,16806.756289279176
2441855.98038961,1973.4729100331551,26553.20595655421,0.7425772,65.552,328.5102,283.1203,457.26432631286207,160.92288806413194,16794.52953464042
2441874.91908667,1973.5247613598085,26552.57445100343,0.7407433,65.49,325.6122,282.9906,505.7965286714616,139.22871046895784,16852.25043469668
2441887.37856531,1973.5588735532103,26552.307585468,0.7403549,65.5814,323.8917,282.674,516.0402582595962,124.91122084431925,16864.35249473329
2441890.36883173,1973.5670604564818,26552.290647452057,0.7402419,65.588,323.4636,282.5925,519.0362692299159,121.45433566654742,16867.909484941272
2441895.35263713,1973.5807053720187,26552.371015048953,0.7398461,65.5798,322.72,282.5181,529.5665738119451,115.72416607326295,16880.448416487867
2441897.84450803,1973.5875277427242,26552.315789829183,0.7398052,65.6018,322.3777,282.4486,530.6381964714446,112.85631261931599,16881.702964154043
2441902.32978928,1973.5998077735248,26552.04496103958,0.7395523,65.6052,321.7335,282.3603,537.282740399347,107.70300153104597,16889.501898792212
2441902.82814822,1973.6011722059418,26552.02872917513,0.7395924,65.6373,321.6618,282.3572,536.2137764955442,107.13700586099344,16888.228037541743
2441905.81841882,1973.6093591206568,26552.12567964696,0.7394446,65.6585,321.252,282.2545,540.1634273106856,103.67721656352523,16892.946153193363
2441909.30705182,1973.6189104772627,26552.18549120747,0.7393556,65.6663,320.7616,282.1474,542.5421560444765,99.6412281854158,16895.787251803486
2441910.30375154,1973.6216392923748,26552.066750592272,0.7392755,65.6664,320.6202,282.1315,544.6380275147958,98.50155474506323,16898.23383731949
2441912.79562284,1973.6284616641753,26552.1058307522,0.7391879,65.6577,320.2801,282.0549,546.9741811407257,95.62880089686314,16901.016375469862
2441929.74014201,1973.6748532293227,26552.03093459004,0.7385279,65.6894,317.9521,281.6607,564.4789877322191,76.20563744379353,16921.724251245803
2441933.22873935,1973.684404488296,26552.08986344601,0.7383145,65.6929,317.4654,281.566,570.1606119608014,72.18578421345057,16928.46473514164
2441935.72061696,1973.6912268773715,26552.188755269875,0.7382429,65.695,317.1265,281.4963,572.0876272320511,69.32112414623498,16930.77588033029
2441939.20920292,1973.7007781051884,26552.199253207116,0.7382429,65.6949,316.657,281.409,572.090375141659,65.32588213215354,16930.78257425011
2441941.70106126,1973.7076004415057,26552.16555398321,0.7378977,65.6498,316.275,281.3257,581.2473616797733,62.404541057950155,16941.59346480416
2441944.69129685,1973.7157872603693,26552.239216037917,0.7377821,65.6332,315.822,281.2768,584.3361075271087,58.95538626707298,16945.265710907126
2441948.67831122,1973.7267031108006,26552.499992639114,0.7374483,65.6675,315.26,281.1622,593.267712317388,54.349080111799594,16955.893843048078
2441951.66855231,1973.7348899447234,26552.35275364259,0.7373618,65.6652,314.8533,281.0781,595.5258329817343,50.91101989959179,16958.509260153598
2441958.14740992,1973.7526280901304,26552.338021033283,0.7373616,65.6651,313.9855,280.919,595.5272741033496,43.498387553070074,16958.50611455697
