jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.6730087,1997.6719315775495,24377.90807359662,0.7296099,6.928,135.0143,178.0099,213.40870181059654,150.6688320822326,15790.290504743369
2450694.67332662,1997.6719324479668,24379.33036726114,0.7297074,6.9199,134.8953,178.1327,211.41629122596805,150.67231873192532,15788.466268376977
2450695.08994424,1997.6730730848465,24376.766184635824,0.7298416,6.9137,134.7535,178.4308,207.4518496153196,150.4179894552725,15783.025940586716
2450695.54614487,1997.6743220941003,24374.590859736687,0.7296243,6.9626,134.1619,179.1749,212.16076591490855,150.1208461239164,15787.736482944027
2450695.97787604,1997.675504109624,24369.23536201938,0.7296244,6.8824,133.9791,179.574,210.71033254720805,149.91162053537266,15784.264843617406
2450696.02386935,1997.6756300324437,24366.87275481983,0.7295424,6.9393,134.2863,179.2321,212.06962477395882,149.831588320243,15785.04193682964
2450696.85484345,1997.6779051155368,24375.091105161428,0.7295448,6.931,134.1115,179.8083,214.23383986465524,149.41395840678877,15790.298296796953
2450696.85517444,1997.6779060217384,24370.81011088075,0.7296637,6.9395,133.9493,179.9492,210.17833337809043,149.39233217416745,15784.178612192914
2450697.72714088,1997.6802933357433,24364.745816312796,0.7293638,6.9394,133.6479,180.6318,215.84592169279313,148.91409913246179,15788.687474153208
2450698.16234537,1997.6814848606975,24360.11246541338,0.7291322,6.9327,133.4334,180.9466,220.23377125909792,148.58545014885055,15792.194232071277
2450698.16234537,1997.6814848606975,24360.11246541338,0.7291322,6.9327,133.4334,180.9466,220.23377125909792,148.58545014885055,15792.194232071277
2450698.16234537,1997.6814848606975,24360.11246541338,0.7291322,6.9327,133.4334,180.9466,220.23377125909792,148.58545014885055,15792.194232071277
2450698.16234537,1997.6814848606975,24360.11246541338,0.7291322,6.9327,133.4334,180.9466,220.23377125909792,148.58545014885055,15792.194232071277
2450698.16234537,1997.6814848606975,24360.11246541338,0.7291322,6.9327,133.4334,180.9466,220.23377125909792,148.58545014885055,15792.194232071277
