jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2443377.60002003,1977.6388775360165,24752.350638603133,0.7312585,47.0591,261.0898,7.6068,273.8475391441625,118.24068703403901,15985.595639591404
2443386.57034446,1977.6634369458184,24749.897930821397,0.7317594,47.0465,258.6454,9.8011,260.791170902291,109.14919950535023,15969.620381809604
2443393.74545716,1977.6830813337708,24747.74213689329,0.7316502,47.0296,256.6817,11.7738,262.91535288688556,102.0862198424756,15971.36817427618
2443400.02286759,1977.7002679468587,24745.81086730381,0.7316102,47.0064,255.0042,13.5428,263.3869295134964,95.9905391308198,15971.271216905801
2443408.54076716,1977.7235886849,24741.78183329107,0.7316623,46.9242,252.5906,15.8585,261.0165310471093,87.4971734359471,15967.17392549072
