jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2452937.97196785,2003.8137493986308,26506.05019520967,0.6297012,68.2849,352.9103,173.3546,3437.022280025907,312.85511649293096,19861.31680925952
2452964.81710128,2003.8872473683236,26507.32704433685,0.6285563,68.1496,351.0281,171.0504,3467.8433344585446,282.209447403494,19889.35338661117
2452970.78237176,2003.903579388802,26508.066028647896,0.6284738,68.1533,350.6048,171.2183,3470.304740972644,276.0745200313295,19891.856291986023
2452977.74264379,2003.9226355750577,26508.983857021463,0.6284768,68.166,350.1074,171.0339,3470.5662113089584,268.53249297919956,19892.47419033758
2452983.71049301,2003.9389746557426,26509.774358323142,0.6285118,68.151,349.6923,170.5785,3469.932058779621,261.77992393264594,19892.24077326189
2452997.6335448,2003.9770938940449,26511.403959256288,0.6287106,68.1363,348.7127,170.2742,3465.266969189892,246.77309814386365,19888.766769109403
2453054.32847915,2004.1323161646812,26512.599891529793,0.6287049,68.0974,344.7431,168.8697,3465.8621279855433,185.51898071473227,19889.79865905839
2453065.26873694,2004.1622689580831,26511.53859157305,0.628735,68.1085,343.96,168.6318,3464.670075200367,173.7149750900594,19888.291137091033
2453121.45022383,2004.3160854861876,26505.891390384888,0.6287366,68.1098,339.9631,167.23,3462.5310576250213,112.94232497242251,19884.01694328728
2453131.39354853,2004.3433088255442,26506.00900058803,0.6285385,68.1124,339.2514,166.8826,3467.8255623719306,102.08282280404683,19888.784800882404
2453137.35902031,2004.3596413971527,26506.38950795798,0.6288375,68.0829,338.8405,166.8716,3460.041495747453,95.7811970250628,19882.0061826819
2453145.31284942,2004.3814177944425,26507.12781201784,0.6289139,68.0416,338.304,166.6756,3458.290381963232,87.20919400070045,19880.754065475026
2453151.27886306,2004.397751849582,26507.80748370014,0.6290064,68.0721,337.857,166.5668,3456.0906264848563,80.77313415048297,19879.076844233994
2453160.22868228,2004.4222551191788,26508.9849991949,0.6290569,68.0724,337.2163,166.254,3455.1887734548527,70.99845709563624,19878.765661045225
2453166.1952244,2004.4385906212187,26509.809329064996,0.6291158,68.0621,336.7984,166.1743,3453.933125162808,64.6200763612544,19877.990696772664
2453173.15661466,2004.4576498690208,26510.67932929098,0.6291533,68.0557,336.3058,165.9785,3453.2616440257716,57.070347152539114,19877.755957965725
2453183.10157993,2004.484877700014,26511.63666684332,0.62927,67.9345,335.6595,165.7673,3450.5227614988235,46.41082799490664,19875.712501589856
2453211.9460177,2004.5638494666662,26513.48225047861,0.6293583,68.0085,333.5661,165.1109,3448.8658342372164,15.231192000215174,19875.006164411967
2453225.37387645,2004.6006129403152,26513.244052911778,0.6293606,67.9994,332.6134,164.8029,3448.7165678247875,0.7356414865370198,19874.77316284259
2453231.83900719,2004.6183135036001,26512.86321160737,0.629344,67.9936,332.1548,164.6528,3449.0155265615413,353.754738703938,19874.88061015366
2453239.79572513,2004.6400978100753,26512.16344147523,0.6293598,67.9877,331.5915,164.4605,3448.337260381066,345.156788372885,19873.982054725915
2453246.75766375,2004.6591585592062,26511.416877557192,0.6295471,67.9842,331.098,164.2854,3443.094965400007,337.6263186857433,19868.98803813085
2453256.70270215,2004.6863865904181,26510.21255532183,0.6294748,67.9766,330.3908,164.0546,3444.5655091031313,326.8862274494806,19869.797347538293
2453262.66939003,2004.7027224915269,26509.435640146246,0.6295326,67.9744,329.9664,163.9114,3442.7453970723163,320.43770305031103,19867.84653872841
2453270.62455734,2004.7245025526079,26508.461633069506,0.631428,67.9355,329.375,163.7189,3392.140421023694,311.8129810611398,19822.132862599276
2453276.59076287,2004.7408371331142,26507.774364398505,0.6294265,67.9631,328.9668,163.5682,3444.9424234254293,305.3736320789284,19869.113238056943
2453284.0482247,2004.761254550856,26507.13563014674,0.6293889,67.9613,328.4465,163.3666,3445.7023937378744,297.30146169184485,19869.524415262207
2453289.01949411,2004.7748651447223,26506.45617720643,0.6295602,67.9629,328.0825,163.2936,3440.9100249931143,291.9646479000046,19864.960074790248
2453296.47631272,2004.7952808014243,26505.93504390774,0.6295832,67.9641,327.5522,163.1138,3440.1073399721645,283.90491148726085,19864.024938828898
2453300.95040843,2004.8075302078846,26505.787746925842,0.6295884,67.962,327.2324,163.0008,3439.9149485991948,279.06232516155535,19863.791426080224
2453307.90997433,2004.8265844608627,26505.76245104897,0.6297101,67.9625,326.7386,162.8443,3436.6798274226767,271.5524940894244,19860.890401998553
2453312.88110039,2004.840194662259,26505.891917388115,0.6298316,67.9667,326.3844,162.7379,3433.5073016324895,266.1922215867535,19858.109198299946
2453320.83499048,2004.8619712265024,26506.363507943097,0.6297968,67.9607,325.8127,162.5467,3434.6042910037577,257.5897584591541,19859.286992641162
2453326.80071628,2004.8783044935797,26507.006236463134,0.6297827,67.9518,325.3829,162.3981,3435.2159799465426,251.13138231128784,19860.102586898574
2453337.73792189,2004.9082489305677,26508.37852241048,0.6298015,67.9385,324.6021,162.2349,3435.225666428576,239.4073849956094,19860.68533960819
2453345.6938216,2004.9300309968519,26509.491784901416,0.6298581,67.9392,324.0328,161.9116,3434.1373572978027,230.67324113330017,19860.178245687523
2453351.66072919,2004.9463674994931,26510.277227597413,0.6298929,67.9263,323.6074,161.7487,3433.505524902119,224.20380018246988,19859.94194983711
2453359.61661712,2004.9681495335246,26511.236813679945,0.6299659,67.9201,323.0403,161.5642,3431.925354236926,215.61066793113343,19858.930488742957
2453366.57889488,2004.9872112111707,26512.00006296014,0.6299432,67.9078,322.545,161.3319,3432.809604898828,208.02086397851212,19860.040329990672
2453474.48422907,2005.2826399153187,26506.065478542834,0.6304283,67.7971,314.8649,158.6876,3417.755379216387,91.34213048528841,19844.091302273428
2453484.42537588,2005.3098572919375,26505.585381600777,0.6308342,67.8886,314.0698,158.7385,3406.8193318669564,80.79967490246446,19834.096055398924
2453492.37913085,2005.3316334862425,26505.683840983496,0.6307867,67.8298,313.5253,158.5373,3408.1146996861917,72.21454495269313,19835.297859258386
2453498.34441995,2005.3479655577007,26505.9932781627,0.6308033,67.8239,313.0928,158.4284,3407.788948519852,65.79359922777473,19835.13518376379
2453506.29840193,2005.3697423735248,26506.674370405166,0.6309011,67.8359,312.5089,158.2628,3405.44805277474,57.20444553110133,19833.321781674007
2453512.26411568,2005.3860756076112,26507.348127340967,0.6309314,67.8362,312.074,158.1433,3404.893563070351,50.7700812599503,19833.10605228283
2453524.19550474,2005.4187419705404,26508.995366620973,0.6309352,67.7986,311.229,158.1167,3405.400773182895,38.13859060545667,19834.24824690059
2453530.16276041,2005.4350794261738,26509.882697704736,0.6309219,67.8183,310.7833,157.7143,3406.0808372917363,31.409006577420655,19835.22817353178
2453565.4693535,2005.5317436098558,26513.303645749573,0.6312471,67.7252,308.2675,156.9573,3398.721307950729,353.33710045192083,19830.056802898707
