jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2446961.52622205,1987.4511327092407,24043.319425321977,0.7215852,47.5499,89.6237,9.2502,315.8796691371326,16.006124673323427,15793.99688931841
2446962.38501681,1987.4534839611504,24043.293475594033,0.7214194,47.5542,89.3983,9.5054,319.85882240706997,15.189473985890046,15798.484258983573
2446962.81452074,1987.4546598788227,24043.281774148105,0.7213963,47.5108,89.3161,9.5979,320.4109624202265,14.776443623867877,15799.103986691332
2446965.82038784,1987.462889494428,24043.201929367675,0.7214342,47.541,88.4309,10.405,319.4774800158493,11.735682005941229,15798.022105130085
2446967.96741786,1987.4687677422585,24043.200621570755,0.7213007,47.545,87.8216,10.9958,322.68688299133373,9.601012786919554,15801.64682046774
2446967.96742694,1987.4687677671182,24043.20055273934,0.721301,47.5451,87.8214,10.9959,322.67965084790194,9.60090383750169,15801.638629323275
2446969.68507667,1987.4734704357832,24043.172056577125,0.7212378,47.5437,87.3375,11.4656,324.1912374699623,7.8937431180710576,15803.335825822016
2446972.69059529,1987.4816990973036,24042.40874877569,0.7212724,47.5349,86.4885,12.2384,323.14658876525027,4.855224970685754,15801.894762543572
2446973.54938153,1987.484050325886,24042.397323708836,0.7212356,47.543,86.242,12.4717,324.0281645053001,3.995582680989841,15802.886326085707
2446974.40817384,1987.4864015710884,24042.032210497197,0.7210406,47.5416,86.0088,12.6964,328.6145802209703,3.1406344081866564,15807.938617971839
2446974.83740653,1987.4875767461465,24042.013077708303,0.7210932,47.5483,85.8847,12.8096,327.3446330617744,2.7066713872244463,15806.498752811116
2446976.55494343,1987.4922791058993,24041.984240950915,0.7210907,47.5549,85.3953,13.2698,327.3966952546516,0.9846218762002792,15806.547635200362
2446976.98432453,1987.4934546872832,24041.963112403137,0.7209864,47.5409,85.2719,13.3758,329.8983790588027,0.5440125780046543,15809.363672674557
