norad,name,tle_file,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
5980,5980 Titan3C TS deb,input/example_5980.tle.txt,RESONANT,26.358,138,6,2442512.4562,1975-04-09,2442880.5000,1976-04-12,368.0,0.0,1.0000
21962,21962 SL-6 deb,input/example_21962.tle.txt,NOT_RESONANT,63.325,112,0,,,,,,,
4049,4049 SL-6 R/B(2),input/example_4049.tle.txt,NOT_RESONANT,64.981,73,0,,,,,,,
24821,24821 Ariane44L R/B,input/example_24821.tle.txt,NOT_RESONANT,7.206,41,0,,,,,,,
5960,5960 Delta1 deb,input/example_5960.tle.txt,NOT_RESONANT,26.595,37,0,,,,,,,
5974,5974 Delta1 deb,input/example_5974.tle.txt,NOT_RESONANT,24.895,27,0,,,,,,,
5735,5735 Delta1 deb,input/example_5735.tle.txt,NOT_RESONANT,26.823,23,0,,,,,,,
23572,23572 Ariane44LP+3 R/B,input/example_23572.tle.txt,NOT_RESONANT,7.307,23,0,,,,,,,
5961,5961 Delta1 deb,input/example_5961.tle.txt,NOT_RESONANT,26.449,17,0,,,,,,,
19558,19558 H-1 R/B(2),input/example_19558.tle.txt,NOT_RESONANT,28.049,15,0,,,,,,,
21670,21670 H-1 R/B(2),input/example_21670.tle.txt,NOT_RESONANT,28.603,12,0,,,,,,,
4570,4570 SL-6 R/B(2),input/example_4570.tle.txt,RESONANT,65.766,74,1,2441459.5775,1972-05-22,2441468.5000,1972-05-31,8.9,0.0,1.0000
4431,4431 SL-6 R/B(2),input/example_4431.tle.txt,NOT_RESONANT,65.434,234,0,,,,,,,
8080,8080 Pageos1 deb,input/example_8080.tle.txt,NOT_RESONANT,83.224,126,0,,,,,,,
2805,2805 Cosmos159,input/example_2805.tle.txt,NOT_RESONANT,53.214,400,0,,,,,,,
10724,10724 AtlasCentaur deb,input/example_10724.tle.txt,RESONANT,26.738,105,1,2444483.9536,1980-09-01,2445212.5000,1982-08-31,728.5,341.6,0.7226
830,830 Elektron4,input/example_830.tle.txt,NOT_RESONANT,64.767,725,0,,,,,,,
7352,7352 Cosmos665,input/example_7352.tle.txt,NOT_RESONANT,65.527,927,0,,,,,,,
28943,28943 Arabsat4,input/example_28943.tle.txt,NOT_RESONANT,51.537,20,0,,,,,,,
28140,28140 Doublestar TC-1,input/example_28140.tle.txt,RESONANT,25.371,583,1,2454387.5697,2007-10-14,2454387.5000,2007-10-14,-0.1,0.0,1.0000
3138,3138 OGO5,input/example_3138.tle.txt,NOT_RESONANT,50.414,750,0,,,,,,,
37798,37798 ExpressAM-4,input/example_37798.tle.txt,NOT_RESONANT,51.103,168,0,,,,,,,
32491,32491 BreezeM deb,input/example_32491.tle.txt,NOT_RESONANT,51.471,580,0,,,,,,,
879,879 OGO1,input/example_879.tle.txt,NOT_RESONANT,72.844,1611,0,,,,,,,
44911,44911 CZ-5 R/B,input/example_44911.tle.txt,RESONANT,15.315,510,1,2459701.6854,2022-05-02,2459703.5000,2022-05-04,1.8,0.0,1.0000
44482,44482 TDO spacecraft,input/example_44482.tle.txt,NOT_RESONANT,26.150,444,0,,,,,,,
62189,62189 CZ-3B R/B,input/example_62189.tle.txt,NOT_RESONANT,51.343,52,0,,,,,,,
23126,23126 STRV1B,input/example_23126.tle.txt,NOT_RESONANT,7.182,3871,0,,,,,,,
26463,26463 ClusterII-FM5,input/example_26463.tle.txt,NOT_RESONANT,129.823,3372,0,,,,,,,
42908,42908 BreezeM deb tank,input/example_42908.tle.txt,NOT_RESONANT,48.220,2102,0,,,,,,,
41686,41686 SL-12 deb,input/example_41686.tle.txt,NOT_RESONANT,64.311,422,0,,,,,,,
42977,42977 SL-12 deb,input/example_42977.tle.txt,NOT_RESONANT,64.873,291,0,,,,,,,
43685,43685 SL-12 deb,input/example_43685.tle.txt,NOT_RESONANT,64.658,80,0,,,,,,,
44555,44555 SL-12 deb,input/example_44555.tle.txt,NOT_RESONANT,65.440,47,0,,,,,,,
45494,45494 SL-12 deb,input/example_45494.tle.txt,NOT_RESONANT,64.807,285,0,,,,,,,
45495,45495 SL-12 deb,input/example_45495.tle.txt,NOT_RESONANT,64.906,337,0,,,,,,,
45499,45499 SL-12 deb,input/example_45499.tle.txt,NOT_RESONANT,64.729,337,0,,,,,,,
