     5.484     5.486     5.488     5.489     5.491     5.493     5.495     5.496
     5.498     5.500     5.501     5.503     5.505     5.507     5.508     5.510
     5.512     5.513     5.515     5.517     5.519     5.520     5.522     5.524
     5.525     5.527     5.529     5.531     5.532     5.534     5.493     5.436
     5.418     5.407     5.404     5.411     5.429     5.456     5.490     5.527
     5.557     5.585     5.626     5.675     5.734     5.803     5.882     5.970
     6.069     6.178     6.297     6.426     6.566     6.716     6.876     7.046
     7.226     7.417     7.617     7.828     8.049
     8.281     8.523     8.775     9.039     9.277     9.544     9.883    10.222
    10.558    10.893    11.227    11.559    11.889    12.217    12.544    12.869
    13.192    13.513    13.833    14.151    14.467    14.782    15.095    15.406
    15.715    16.022    16.328    16.631    16.933    17.234    17.532    17.829
    18.123    18.416    18.708    18.997    19.285    19.571    19.855    20.137
    20.418    20.696    20.973    21.249    21.522    21.794    22.064    22.332
    22.599    22.864    23.127    23.388    23.648    23.906    24.163    24.417
    24.670    24.922    25.171    25.419    25.666    25.911    26.154    26.395
    26.635    26.874    27.110    27.345    27.579    27.811    28.041    28.270
    28.498    28.723    28.948    29.170    29.391    29.611    29.829    30.046
    30.475    30.898    31.315    31.726    32.132    32.531    32.925    33.314
    33.697    34.074    34.446    34.812    35.173    35.529    35.880    36.225
    36.565    36.899    37.229    37.553    37.873    38.187    38.496    38.801
    39.100    39.395    39.685    39.970    40.251    40.527    40.798    41.064
    41.326    41.584    41.837    42.086    42.331    42.571    42.807    43.039
    43.267    43.490    43.710    43.926    44.138    44.346    44.550    44.751
    44.948    45.141    45.331    45.518    45.701    45.880    46.057    46.230
    46.400    46.567    46.731    46.892    47.050    47.205    47.357    47.507
    47.654    47.798    47.940    48.079    48.216    48.351    48.483    48.613
    48.740    48.866    48.990    49.111    49.231    49.348    49.464    49.578
    49.690    49.800    49.909    50.016    50.122    50.226    50.329    50.430
    50.530    50.629    50.727    50.823    50.918    51.012    51.105    51.197
    51.288    51.378    51.467    51.555    51.642    51.729    51.815    51.900
    51.985    52.069    52.153    52.236    52.318    52.400    52.482    52.563
    52.644    52.725    52.806    52.886    52.966    53.046    53.126    53.206
    53.286    53.366    53.446    53.526    53.606    53.686    53.767    53.848
    53.929    54.010    54.092    54.174    54.257    54.340    54.424    54.508
    54.593    54.678    54.765    54.851    54.939    55.028    55.117    55.207
    55.298    55.390    55.483    55.577    55.673    55.769
 0.801E-03 0.668E-03 0.556E-03 0.464E-03 0.386E-03 0.322E-03 0.269E-03 0.224E-03
 0.187E-03 0.156E-03 0.130E-03 0.108E-03 0.902E-04 0.752E-04 0.627E-04 0.523E-04
 0.436E-04 0.364E-04 0.304E-04 0.253E-04 0.211E-04 0.176E-04 0.147E-04 0.123E-04
 0.102E-04 0.854E-05 0.713E-05 0.595E-05 0.497E-05 0.415E-05 0.346E-05 0.288E-05
 0.239E-05 0.199E-05 0.165E-05 0.138E-05 0.114E-05 0.951E-06 0.793E-06 0.661E-06
 0.552E-06 0.461E-06 0.386E-06 0.323E-06 0.271E-06 0.228E-06 0.192E-06 0.162E-06
 0.137E-06 0.117E-06 0.995E-07 0.850E-07 0.729E-07 0.627E-07 0.541E-07 0.469E-07
 0.407E-07 0.355E-07 0.311E-07 0.273E-07 0.241E-07
 0.213E-07 0.189E-07 0.169E-07 0.151E-07 0.135E-07 0.121E-07 0.110E-07 0.992E-08
 0.901E-08 0.821E-08 0.750E-08 0.687E-08 0.631E-08 0.580E-08 0.535E-08 0.495E-08
 0.458E-08 0.425E-08 0.395E-08 0.368E-08 0.343E-08 0.320E-08 0.300E-08 0.281E-08
 0.263E-08 0.247E-08 0.232E-08 0.219E-08 0.206E-08 0.194E-08 0.183E-08 0.173E-08
 0.164E-08 0.155E-08 0.147E-08 0.139E-08 0.132E-08 0.126E-08 0.120E-08 0.114E-08
 0.108E-08 0.103E-08 0.982E-09 0.937E-09 0.894E-09 0.854E-09 0.816E-09 0.780E-09
