norad,name,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
6068,PROGNOZ 2,TOO_FEW_TLES,,1,,,,,,,,
6208,MOLNIYA 2-3,NOT_RESONANT,65.478,423,0,,,,,,,
6231,MOLNIYA 1-21,RESONANT,65.411,408,1,2441619.0092,1972-10-28,2443448.5000,1977-11-01,1829.5,1787.7,0.0078
6294,MOLNIYA 1-22,RESONANT,65.061,219,1,2442808.3434,1976-01-30,2442819.5000,1976-02-11,11.2,9.4,0.9916
6308,MOLNIYA 2-4,NOT_RESONANT,65.465,120,0,,,,,,,
6356,MOLNIYA 1-23,NOT_RESONANT,65.077,274,0,,,,,,,
6418,MOLNIYA 2-5,NOT_RESONANT,65.467,325,0,,,,,,,
6805,MOLNIYA 1-24,NOT_RESONANT,65.494,277,0,,,,,,,
6877,MOLNIYA 2-7,NOT_RESONANT,64.672,887,0,,,,,,,
6932,MOLNIYA 1-25,NOT_RESONANT,65.210,264,0,,,,,,,
7248,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.046,99,0,,,,,,,
7249,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.101,109,0,,,,,,,
7325,EXPLORER 52 (HAWKEYE),NOT_RESONANT,85.197,25,0,,,,,,,
7568,TITAN 3E CENTAUR R/B(1),NO_TLE_FILE,,,,,,,,,,
8414,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.940,93,0,,,,,,,
8415,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.008,117,0,,,,,,,
9540,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.924,25,0,,,,,,,
10276,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.806,22,0,,,,,,,
10277,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.013,5,0,,,,,,,
10370,PROGNOZ 6,NOT_RESONANT,70.227,1776,0,,,,,,,
10408,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.107,7,0,,,,,,,
10425,DELTA 1 R/B(2),NO_TLE_FILE,,,,,,,,,,
10484,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.905,7,0,,,,,,,
11700,COSMOS 1164,TOO_FEW_TLES,,1,,,,,,,,
11801,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.158,22,0,,,,,,,
11802,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.988,98,0,,,,,,,
11859,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.027,45,0,,,,,,,
11860,SL-12 R/B(AUX MOTOR),NOT_RESONANT,46.973,76,0,,,,,,,
11914,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.035,65,0,,,,,,,
11923,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.000,59,0,,,,,,,
12012,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.272,47,0,,,,,,,
12013,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.216,54,0,,,,,,,
12116,PROGNOZ 8,NOT_RESONANT,65.830,5,0,,,,,,,
12396,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.235,18,0,,,,,,,
12603,SL-12 R/B(AUX MOTOR),NOT_RESONANT,47.015,6,0,,,,,,,
