norad,name,n_tle,source
18528,SL-12 R/B(AUX MOTOR),147,fetched
18635,SL-12 R/B(AUX MOTOR),69,fetched
18636,SL-12 R/B(AUX MOTOR),89,fetched
19036,SL-12 R/B(AUX MOTOR),31,fetched
19037,SL-12 R/B(AUX MOTOR),20,fetched
19082,SL-12 R/B(AUX MOTOR),19,fetched
19083,SL-12 R/B(AUX MOTOR),11,fetched
19093,SL-12 R/B(AUX MOTOR),20,fetched
20354,SL-12 R/B,237,fetched
20372,SL-12 R/B(AUX MOTOR),103,fetched
21024,SL-12 R/B(AUX MOTOR),85,fetched
21739,SL-12 R/B(AUX MOTOR),17,fetched
21740,SL-12 R/B(AUX MOTOR),51,fetched
21764,SL-12 R/B(AUX MOTOR),72,fetched
23635,SL-6 R/B(2),8,fetched
25517,ARIANE 42L R/B,0,EMPTY
26558,DELTA 1 R/B,0,EMPTY
27542,SL-12 R/B(2),1059,fetched
27963,SL-12 DEB,319,fetched
27967,SL-12 DEB,237,fetched
28001,SL-12 DEB,4,fetched
28014,SL-12 DEB,1,fetched
28015,SL-12 DEB,2,fetched
28037,SL-12 DEB,2,fetched
28219,ATLAS 2AS CENTAUR R/B,0,EMPTY
28260,SL-12 DEB,444,fetched
28680,SL-12 DEB,44,fetched
28681,SL-12 DEB,3,fetched
28927,STARDUST SRC,0,EMPTY
29025,SL-12 DEB,4,fetched
29462,SL-12 DEB,145,fetched
29473,SL-12 DEB,94,fetched
31801,CZ-3B R/B,1,fetched
32259,ATLAS 5 CENTAUR R/B,0,EMPTY
34201,SL-12 DEB,165,fetched
39461,FALCON 9 R/B,60,fetched
39501,FALCON 9 R/B,76,fetched
40006,DELTA 4 DEB,1,fetched
68539,TACHELES,1,fetched
68541,K-RADCUBE,1,fetched
