norad,irefine,nzu,latest_zone_rpe_pct,ensemble_rpe_pct
42928,0, 8,  -21.999,    1.318
42928,1, 8,  -15.535,    1.294
35497,0, 8,  -76.356,    2.771
35497,1, 8,  -77.665,    0.272
37151,0, 8,  -24.213,   -1.192
37151,1, 8,  -44.450,   -5.711
39615,0, 8,   19.810,   -0.077
39615,1, 8,   12.699,   -1.474
27526,0, 8,    4.705,    0.265
27526,1, 8,    2.715,    0.068
32007,0, 8,    1.997,   -0.246
32007,1, 8,   -5.514,   -6.279
37819,0, 8,   31.888,   -7.743
37819,1, 8,   27.555,   -9.037
