norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
37819,3, 0.354169,  40.130, 2456522.7787,   -8.567, 0, 2456515.7379,   55.97,   -7.743, 2456258.9263,        1.4532
37819,4, 0.344840,  45.150, 2456508.6970,  -14.449, 0, 2456515.7379,   55.97,   -7.743, 2456278.9393,        4.3110
37819,5, 0.321007,  43.408, 2456499.3566,  -21.118, 0, 2456515.7379,   55.97,   -7.743, 2456319.5256,        1.7700
37819,6, 0.292712,  45.529, 2456496.0969,  -27.460, 2, 2456515.7379,   55.97,   -7.743, 2456360.3056,        4.7179
37819,7, 0.274534,  44.028, 2456504.0151,  -26.066, 0, 2456515.7379,   55.97,   -7.743, 2456380.6738,        1.9707
37819,8, 0.050319,  44.571, 2456548.7245,   31.888, 0, 2456515.7379,   55.97,   -7.743, 2456543.6600,       68.1275
11550,1, 0.677487, 153.022,       0.0000,    0.000, 2, 2460763.9705,    0.00,   -0.074, 2445234.0506,        3.3096
11550,2, 0.635092, 149.258,       0.0000,    0.000, 2, 2460763.9705,    0.00,   -0.074, 2454085.5949,        2.8855
11550,3, 0.631720, 101.176,       0.0000,    0.000, 0, 2460763.9705,    0.00,   -0.074, 2454146.4204,        3.7592
11550,4, 0.620603,  99.313,       0.0000,    0.000, 0, 2460763.9705,    0.00,   -0.074, 2454329.3989,        2.9383
11550,5, 0.596607, 147.939,       0.0000,    0.000, 0, 2460763.9705,    0.00,   -0.074, 2454688.8150,        2.0258
11550,6, 0.595372, 126.048,       0.0000,    0.000, 0, 2460763.9705,    0.00,   -0.074, 2454709.4256,        3.7138
11550,7, 0.581104, 143.307,       0.0000,    0.000, 0, 2460763.9705,    0.00,   -0.074, 2454949.2009,        2.8524
11550,8, 0.715267, 159.344, 2460763.9705,  -23.244, 2, 2460763.9705,    0.00,   -0.074, 2460725.8981,      463.7651
59347,1, 0.819929, 148.576,       0.0000,    0.000, 2, 2461132.1693,   42.72,   -8.725, 2460427.7600,       10.1639
59347,2, 0.819188,  28.442,       0.0000,    0.000, 2, 2461132.1693,   42.72,   -8.725, 2460566.1970,       45.0436
59347,3, 0.818606,  26.976,       0.0000,    0.000, 2, 2461132.1693,   42.72,   -8.725, 2460588.9092,       43.0225
59347,4, 0.816280, 151.197,       0.0000,    0.000, 2, 2461132.1693,   42.72,   -8.725, 2460660.6975,        5.2708
59347,5, 0.787663, 159.730, 2461117.4414,  -60.209, 2, 2461132.1693,   42.72,   -8.725, 2461063.2107,     2228.3793
59347,6, 0.784415, 191.152, 2461108.9049,  -86.115, 2, 2461132.1693,   42.72,   -8.725, 2461094.2977,    16131.1217
59347,7, 0.726724, 197.826, 2461146.8973,  -69.799, 2, 2461132.1693,   42.72,   -8.725, 2461124.1365,     3657.0591
59347,8, 0.294702, 266.830, 2461199.2603,   -1.552, 2, 2461132.1693,   42.72,   -8.725, 2461184.0621,      321.1009
40943,1, 0.640494,  11.022,       0.0000,    0.000, 2, 2458997.6877,   67.86,   11.464, 2458043.0264,       41.6519
40943,2, 0.619134,  26.026,       0.0000,    0.000, 2, 2458997.6877,   67.86,   11.464, 2458516.7971,        8.4101
40943,3, 0.617397,  10.721,       0.0000,    0.000, 2, 2458997.6877,   67.86,   11.464, 2458578.3000,       15.3772
40943,4, 0.604850,  27.963,       0.0000,    0.000, 2, 2458997.6877,   67.86,   11.464, 2458679.2097,        9.5041
40943,5, 0.600174,  17.288,       0.0000,    0.000, 2, 2458997.6877,   67.86,   11.464, 2458699.4359,        5.2407
40943,6, 0.553400,  15.783, 2458997.6877,   82.492, 2, 2458997.6877,   67.86,   11.464, 2458780.4732,       34.6196
40943,7, 0.524082,  28.384, 2459048.5107,  151.174, 2, 2458997.6877,   67.86,   11.464, 2458800.9310,       25.1850
40943,8, 0.275164,  31.295, 2458916.2850,   94.624, 2, 2458997.6877,   67.86,   11.464, 2458881.7613,      241.4174
66587,1, 0.751664,  17.647, 2461084.8536,    4.167, 2, 2461080.5831,    4.64,   -1.139, 2461001.0294,       25.5185
66587,2, 0.751388,  32.344, 2461080.5831,   -1.673, 2, 2461080.5831,    4.64,   -1.139, 2461026.7016,       43.3608
66587,3, 0.749086, 246.113, 2461075.6018,  -17.636, 2, 2461080.5831,    4.64,   -1.139, 2461048.0567,      133.2158
60328,1, 0.722411,  48.958,       0.0000,    0.000, 0, 2460777.7574,  106.22,   -0.714, 2460535.5803,       16.2012
60328,2, 0.715401,  51.210,       0.0000,    0.000, 0, 2460777.7574,  106.22,   -0.714, 2460561.1855,       17.6494
60328,3, 0.711700,  30.731, 2460987.6687,  105.088, 2, 2460777.7574,  106.22,   -0.714, 2460581.4096,        5.4281
60328,4, 0.708107,  57.101, 2460748.0839,  -17.702, 0, 2460777.7574,  106.22,   -0.714, 2460602.0309,        9.5871
60328,5, 0.690440, 103.614, 2460765.1512,  -20.846, 2, 2460777.7574,  106.22,   -0.714, 2460710.6662,      203.5316
60328,6, 0.674481, 126.974, 2460777.7574,   -3.635, 2, 2460777.7574,  106.22,   -0.714, 2460731.5562,      264.0708
60328,7, 0.567518,  81.986, 2460783.1035,   18.117, 0, 2460777.7574,  106.22,   -0.714, 2460759.6094,      377.9079
61734,1, 0.720229,  29.834, 2461809.9183,  763.855, 2, 2460747.1540,  613.76,   -6.777, 2460618.5919,      184.7424
61734,2, 0.725362,  75.968, 2460760.2246,    3.193, 0, 2460747.1540,  613.76,   -6.777, 2460639.8356,        2.5551
61734,3, 0.722859, 102.095, 2460734.0834,  -23.720, 0, 2460747.1540,  613.76,   -6.777, 2460661.9940,        7.8583
61734,4, 0.721274, 124.078, 2460729.6109,  -38.539, 2, 2460747.1540,  613.76,   -6.777, 2460686.7280,      132.2467
57804,ERR,,,,,,,,,,  2
36518,1, 0.714719,  96.004,       0.0000,    0.000, 0, 2458457.2628,   41.27,    1.315, 2456395.3569,        4.6628
36518,2, 0.714024, 102.353,       0.0000,    0.000, 0, 2458457.2628,   41.27,    1.315, 2456417.2613,        1.6389
36518,3, 0.714774,  80.940, 2458486.4430,    5.754, 2, 2458457.2628,   41.27,    1.315, 2457458.2495,       86.5673
36518,4, 0.711906,  60.251,       0.0000,    0.000, 2, 2458457.2628,   41.27,    1.315, 2457478.5870,       94.2139
36518,5, 0.709145,  70.300,       0.0000,    0.000, 2, 2458457.2628,   41.27,    1.315, 2457498.6292,       86.8148
36518,6, 0.699001,  64.373,       0.0000,    0.000, 2, 2458457.2628,   41.27,    1.315, 2457858.3170,       29.0588
36518,7, 0.698015,  72.223,       0.0000,    0.000, 2, 2458457.2628,   41.27,    1.315, 2457879.5048,       17.7279
36518,8, 0.347008,  60.066, 2458428.0825,  -14.612, 2, 2458457.2628,   41.27,    1.315, 2458413.9556,     3037.7364
30799,1, 0.858249, 122.665,       0.0000,    0.000, 0, 2458799.1182,    0.00,  -42.528, 2456578.2708,       11.4050
