object,zone,nzone,e_span,bn_span,rms_baseline,pop,gen,nevals,nconverged,mean_rms,min_rms,max_rms,mean_bn,std_bn
42928                         , 1, 42,  0.009037,  121.3570,    4.420432, 20,  75,   1520,  3,    6.393343,    1.439100,   15.169054,   86.5958,    7.6579
42928                         , 1, 42,  0.009037,  121.3570,    4.420432, 20, 125,   2520,  4,    5.562881,    1.439100,   12.157047,   88.2491,    6.3391
42928                         , 1, 42,  0.009037,  121.3570,    4.420432, 20, 200,   4020,  5,    4.962491,    1.439100,   12.142415,   88.3759,    5.2403
42928                         , 1, 42,  0.009037,  121.3570,    4.420432, 20, 500,  10020,  8,    3.285267,    1.439100,    7.169834,   85.4599,    3.5574
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4,  10,     44,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4,  20,     84,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4,  40,    164,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4,  75,    304,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4, 125,    504,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4, 200,    804,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  4, 500,   2004,  0,    8.570084,    8.570084,    8.570084,  109.5522,    0.0000
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6,  10,     66,  0,    8.497255,    7.873495,    8.566566,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6,  20,    126,  0,    8.497254,    7.873495,    8.566566,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6,  40,    246,  0,    8.497253,    7.873495,    8.566565,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6,  75,    456,  0,    8.497251,    7.873495,    8.566565,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6, 125,    756,  0,    8.497249,    7.873495,    8.566562,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6, 200,   1206,  0,    8.497248,    7.873495,    8.566561,  109.7117,    0.4786
42928                         , 2, 48,  0.014476,   60.6785,    6.387748,  6, 500,   3006,  0,    8.497246,    7.873495,    8.566552,  109.7117,    0.4786
