1 03145U 68014B   06147.54166667  .00000000  00000-0  00000+0 0  9990
2 03145 051.6569 130.3348 5030827 044.4734 355.0019 00.38777027 51505
1 03145U 68014B   06150.12500000  .00000000  00000-0  00000+0 0  9991
2 03145 051.7087 130.3595 5036402 044.4306 355.7259 00.38781248 51508
1 03145U 68014B   06152.70833333  .00000000  00000-0  00000+0 0  9995
2 03145 051.7441 130.3743 5043124 044.4601 356.3078 00.38784709 51505
1 03145U 68014B   06155.33333333  .00000000  00000-0  00000+0 0  9992
2 03145 051.7528 130.3481 5048368 044.5399 002.6654 00.38785035 51504
1 03145U 68014B   06157.87500000  .00000000  00000-0  00000+0 0  9990
2 03145 051.7352 130.3073 5050408 044.6058 357.4408 00.38783291 51507
1 03145U 68014B   06160.45833333  .00000000  00000-0  00000+0 0  9996
2 03145 051.7202 130.2585 5049898 044.6147 358.1628 00.38778240 51508
1 03145U 68014B   06163.00000000  .00000000  00000-0  00000+0 0  9997
2 03145 051.7452 130.2441 5050861 044.5401 353.1965 00.38774870 51504
1 03145U 68014B   06165.58333333  .00000000  00000-0  00000+0 0  9990
2 03145 051.8296 130.2927 5060968 044.4813 353.9345 00.38784774 51509
1 03145U 68014B   06168.16666667  .00000000  00000-0  00000+0 0  9996
2 03145 051.8664 130.3110 5077624 044.6268 354.2695 00.38795121 51506
1 03145U 68014B   06168.83333333  .00000000  00000-0  00000+0 0  9991
2 03145 051.8427 130.2931 5080403 044.6539 087.3023 00.38767105 51503
1 03145U 68014B   06170.75000000  .00000000  00000-0  00000+0 0  9997
2 03145 051.8066 130.2283 5083122 044.7762 354.7674 00.38784118 51508
1 03145U 68014B   06173.33333333  .00000000  00000-0  00000+0 0  9992
2 03145 051.7979 130.1881 5084244 044.7466 355.5868 00.38777420 51502
1 03145U 68014B   06175.91666667  .00000000  00000-0  00000+0 0  9997
2 03145 051.8507 130.2092 5089645 044.6806 356.3664 00.38779272 51502
1 03145U 68014B   06178.50000000 +.00000000 +00000-0 +00000-0 0  9999
2 03145 051.9089 130.2476 5098336 044.6795 356.9775 00.38783304051508
1 03145U 68014B   06181.08333333  .00000000  00000-0  00000+0 0  9993
2 03145 051.9397 130.2643 5106950 044.7455 357.4780 00.38785871 51505
1 03145U 68014B   06183.66666667  .00000000  00000-0  00000+0 0  9998
2 03145 051.9392 130.2492 5113125 044.8375 357.9746 00.38785918 51505
1 03145U 68014B   06186.25000000  .00000000  00000-0  00000+0 0  9999
2 03145 051.9232 130.2117 5116156 044.9054 358.5567 00.38782825 51506
1 03145U 68014B   06188.79166667  .00000000  00000-0  00000+0 0  9992
2 03145 051.9223 130.1832 5117667 044.9073 353.4464 00.38777464 51501
1 03145U 68014B   06191.37500000  .00000000  00000-0  00000+0 0  9993
2 03145 051.9745 130.2003 5123271 044.8414 354.2402 00.38777799 51509
1 03145U 68014B   06193.95833333  .00000000  00000-0  00000+0 0  9997
2 03145 051.9745 130.1960 5123271 044.8445 354.8737 00.38777799 51501
1 03145U 68014B   06196.58333333  .00000000  00000-0  00000+0 0  9994
2 03145 052.0515 130.2233 5156264 045.1123 000.8009 00.38793412 51507
1 03145U 68014B   06199.12500000  .00000000  00000-0  00000+0 0  9994
2 03145 051.9970 130.1473 5159922 045.2050 355.6008 00.38781372 51501
1 03145U 68014B   06201.70833333  .00000000  00000-0  00000+0 0  9990
2 03145 052.0160 130.1417 5164074 045.1719 356.3704 00.38779879 51507
1 03145U 68014B   06204.29166667  .00000000  00000-0  00000+0 0  9996
2 03145 052.0574 130.1928 5172675 045.1528 357.0103 00.38781643 51500
1 03145U 68014B   06206.87500000  .00000000  00000-0  00000+0 0  9995
2 03145 052.0982 130.2238 5183032 045.2141 357.4995 00.38785654 51508
1 03145U 68014B   06209.45833333  .00000000  00000-0  00000+0 0  9990
2 03145 052.1107 130.2168 5192189 045.3277 357.9207 00.38788037 51503
1 03145U 68014B   06212.00000000  .00000000  00000-0  00000+0 0  9992
2 03145 052.0902 130.1848 5198219 045.4483 352.5625 00.38786815 51506
1 03145U 68014B   06214.58333333  .00000000  00000-0  00000+0 0  9995
2 03145 052.0638 130.1387 5201230 045.5259 353.1372 00.38782648 51506
1 03145U 68014B   06217.20833333  .00000000  00000-0  00000+0 0  9992
2 03145 052.0655 130.1085 5204207 045.5320 359.6633 00.38777508 51506
1 03145U 68014B   06219.75000000  .00000000  00000-0  00000+0 0  9991
2 03145 052.1265 130.1434 5214299 045.5060 354.5401 00.38782340 51502
1 03145U 68014B   06222.33333333  .00000000  00000-0  00000+0 0  9997
2 03145 052.1751 130.1807 5235045 045.6650 354.8209 00.38798966 51504
1 03145U 68014B   06224.91666667  .00000000  00000-0  00000+0 0  9992
2 03145 052.0929 130.0836 5245723 045.9137 355.1131 00.38789570 51507
1 03145U 68014B   06227.50000000  .00000000  00000-0  00000+0 0  9993
2 03145 052.0505 130.0194 5248430 045.9637 355.8103 00.38780661 51505
1 03145U 68014B   06230.12500000  .00000000  00000-0  00000+0 0  9990
2 03145 052.0702 130.0345 5254598 045.9512 002.3170 00.38782129 51505
1 03145U 68014B   06232.66666667  .00000000  00000-0  00000+0 0  9993
2 03145 052.1045 130.0585 5264151 045.9979 357.0361 00.38785387 51506
1 03145U 68014B   06235.25000000  .00000000  00000-0  00000+0 0  9994
2 03145 052.1127 130.0614 5273918 046.1123 357.4567 00.38788100 51503
1 03145U 68014B   06237.83333333  .00000000  00000-0  00000+0 0  9998
2 03145 052.0872 130.0282 5281239 046.2596 357.8604 00.38789017 51504
1 03145U 68014B   06240.37500000  .00000000  00000-0  00000+0 0  9998
2 03145 052.0626 129.9675 5285367 046.4072 352.5182 00.38786174 51505
1 03145U 68014B   06242.95833333  .00000000  00000-0  00000+0 0  9992
2 03145 052.0247 129.9046 5286754 046.4781 353.1356 00.38781330 51503
1 03145U 68014B   06245.54166667  .00000000  00000-0  00000+0 0  9999
2 03145 052.0281 129.8799 5290068 046.4779 353.8566 00.38779448 51502
1 03145U 68014B   06248.12500000  .00000000  00000-0  00000+0 0  9999
2 03145 052.0823 129.9148 5303336 046.5051 354.4422 00.38790238 51508
1 03145U 68014B   06250.70833333  .00000000  00000-0  00000+0 0  9994
2 03145 052.0613 129.8809 5322415 046.7557 354.6124 00.38800540 51509
1 03145U 68014B   06253.29166667  .00000000  00000-0  00000+0 0  9990
2 03145 051.9522 129.7494 5326822 046.9483 355.1014 00.38785223 51505
1 03145U 68014B   06255.87500000  .00000000  00000-0  00000+0 0  9999
2 03145 051.9254 129.6967 5328532 046.9627 355.8593 00.38780854 51505
1 03145U 68014B   06255.87500000 -.00000441  00000-0  00000+0 0  9999
2 03145 051.9254 129.6967 5328532 046.9627 355.8593 00.38780902 51509
1 03145U 68014B   06255.87500000 -.00000441 +00000-0 +00000-0 0  9990
2 03145 051.9254 129.6967 5328532 046.9627 355.8593 00.38780902051509
1 03145U 68014B   06258.45833333 +.00000000 +00000-0 +00000-0 0  9995
2 03145 051.9448 129.6991 5334664 046.9767 356.5095 00.38784154051518
1 03145U 68014B   06261.04166667 +.00000000 +00000-0 +00000-0 0  9993
2 03145 051.9545 129.6987 5342888 047.0560 357.0124 00.38787454051516
1 03145U 68014B   06263.62500000 -.00000243 +00000-0 +00000-0 0  9992
2 03145 051.8044 129.4734 5318319 046.9599 358.2677 00.38774243051517
1 03145U 68014B   06266.20833333 -.00000130 +00000-0 +00000-0 0  9992
2 03145 051.8032 129.4442 5321879 047.0079 358.8941 00.38777136051525
1 03145U 68014B   06268.75000000 -.00000080 +00000-0 +00000-0 0  9995
2 03145 051.8051 129.4207 5325085 047.0691 353.6582 00.38779487051534
1 03145U 68014B   06271.28719550  .00000000  00000-0  10000-3 0  9999
2 03145 051.7829 129.3801 5337928 047.1521 347.7386 00.38773568 51548
1 03145U 68014B   06271.33333333 -.00000094 +00000-0 +00000-0 0  9996
2 03145 051.7941 129.3734 5328560 047.1309 354.2647 00.38777315051541
1 03145U 68014B   06273.95833333 -.00000112 +00000-0 +00000-0 0  9992
2 03145 051.7836 129.3396 5334302 047.1432 000.7876 00.38772986051553
1 03145U 68014B   06276.50000000 -.00000044 +00000-0 +00000-0 0  9997
2 03145 051.8079 129.3472 5346829 047.1719 355.5827 00.38780817051563
1 03145U 68014B   06279.08333333 +.00000032 +00000-0 +00000-0 0  9997
2 03145 051.7735 129.2921 5357477 047.3313 355.9867 00.38782892051576
1 03145U 68014B   06281.70833333 -.00000043 +00000-0 +00000-0 0  9997
2 03145 051.7502 129.2418 5360408 047.3933 002.4570 00.38778235051587
1 03145U 68014B   06284.25000000 -.00000176 +00000-0 +00000-0 0  9994
2 03145 051.7718 129.2330 5367580 047.4243 357.2638 00.38780414051591
