norad,name,type,incl_deg,decay,lead_days,cutoff,n_tle_total,n_tle_kept,first_tle,last_kept_tle,last_tle_to_decay_days,run_idx
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,1976-04-12,90,1976-01-13,276,276,1971-09-12,1975-04-09,368.0,45
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,1976-04-12,180,1975-10-15,276,276,1971-09-12,1975-04-09,368.0,46
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,1976-04-12,365,1975-04-13,276,276,1971-09-12,1975-04-09,368.0,47
4570,SL-6 R/B(2),ROCKET BODY,65.99,1972-05-31,30,1972-05-01,149,142,1970-10-14,1972-04-20,5.9,48
4570,SL-6 R/B(2),ROCKET BODY,65.99,1972-05-31,90,1972-03-02,149,136,1970-10-14,1972-02-01,5.9,49
4570,SL-6 R/B(2),ROCKET BODY,65.99,1972-05-31,180,1971-12-03,149,122,1970-10-14,1971-12-01,5.9,50
4570,SL-6 R/B(2),ROCKET BODY,65.99,1972-05-31,365,1971-06-01,149,77,1970-10-14,1971-05-29,5.9,51
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,1982-08-31,30,1982-08-01,210,210,1978-03-15,1981-08-09,387.0,52
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,1982-08-31,90,1982-06-02,210,210,1978-03-15,1981-08-09,387.0,53
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,1982-08-31,180,1982-03-04,210,210,1978-03-15,1981-08-09,387.0,54
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,1982-08-31,365,1981-08-31,210,210,1978-03-15,1981-08-09,387.0,55
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,2007-10-14,30,2007-09-14,1167,1150,2004-01-05,2007-09-13,-0.1,56
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,2007-10-14,90,2007-07-16,1167,1109,2004-01-05,2007-07-13,-0.1,57
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,2007-10-14,180,2007-04-17,1167,1052,2004-01-05,2007-04-16,-0.1,58
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,2007-10-14,365,2006-10-14,1167,889,2004-01-05,2006-10-13,-0.1,59
44911,CZ-5 R/B,ROCKET BODY,13.17,2022-05-04,30,2022-04-04,1021,1004,2019-12-27,2022-04-03,1.8,60
44911,CZ-5 R/B,ROCKET BODY,13.17,2022-05-04,90,2022-02-03,1021,945,2019-12-27,2022-02-02,1.8,61
44911,CZ-5 R/B,ROCKET BODY,13.17,2022-05-04,180,2021-11-05,1021,783,2019-12-27,2021-11-03,1.8,62
44911,CZ-5 R/B,ROCKET BODY,13.17,2022-05-04,365,2021-05-04,1021,463,2019-12-27,2021-04-22,1.8,63
7096,SKYNET 2A,PAYLOAD,26.55,1974-01-25,30,1973-12-26,5,0,1974-01-19,,0.8,
7096,SKYNET 2A,PAYLOAD,26.55,1974-01-25,90,1973-10-27,5,0,1974-01-19,,0.8,
7096,SKYNET 2A,PAYLOAD,26.55,1974-01-25,180,1973-07-29,5,0,1974-01-19,,0.8,
7096,SKYNET 2A,PAYLOAD,26.55,1974-01-25,365,1973-01-25,5,0,1974-01-19,,0.8,
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,2026-04-10,30,2026-03-11,13,0,2026-04-01,,-0.9,
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,2026-04-10,90,2026-01-10,13,0,2026-04-01,,-0.9,
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,2026-04-10,180,2025-10-12,13,0,2026-04-01,,-0.9,
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,2026-04-10,365,2025-04-10,13,0,2026-04-01,,-0.9,
6294,MOLNIYA 1-22,PAYLOAD,64.93,1976-02-11,30,1976-01-12,219,213,1973-01-08,1976-01-11,1.7,64
6294,MOLNIYA 1-22,PAYLOAD,64.93,1976-02-11,90,1975-11-13,219,207,1973-01-08,1975-11-12,1.7,65
6294,MOLNIYA 1-22,PAYLOAD,64.93,1976-02-11,180,1975-08-15,219,194,1973-01-08,1975-08-13,1.7,66
6294,MOLNIYA 1-22,PAYLOAD,64.93,1976-02-11,365,1975-02-11,219,168,1973-01-08,1975-02-09,1.7,67
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,1989-02-01,30,1989-01-02,27,24,1988-03-15,1988-10-09,15.3,68
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,1989-02-01,90,1988-11-03,27,24,1988-03-15,1988-10-09,15.3,69
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,1989-02-01,180,1988-08-05,27,14,1988-03-15,1988-08-02,15.3,70
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,1989-02-01,365,1988-02-02,27,0,1988-03-15,,15.3,
29462,SL-12 DEB,DEBRIS,65.31,2012-10-03,30,2012-09-03,145,145,2006-09-22,2010-06-21,834.0,71
29462,SL-12 DEB,DEBRIS,65.31,2012-10-03,90,2012-07-05,145,145,2006-09-22,2010-06-21,834.0,72
29462,SL-12 DEB,DEBRIS,65.31,2012-10-03,180,2012-04-06,145,145,2006-09-22,2010-06-21,834.0,73
29462,SL-12 DEB,DEBRIS,65.31,2012-10-03,365,2011-10-04,145,145,2006-09-22,2010-06-21,834.0,74
5941,PROGNOZ 1,PAYLOAD,64.93,1980-01-19,30,1979-12-20,13,13,1972-04-14,1975-08-24,1608.0,75
5941,PROGNOZ 1,PAYLOAD,64.93,1980-01-19,90,1979-10-21,13,13,1972-04-14,1975-08-24,1608.0,76
5941,PROGNOZ 1,PAYLOAD,64.93,1980-01-19,180,1979-07-23,13,13,1972-04-14,1975-08-24,1608.0,77
5941,PROGNOZ 1,PAYLOAD,64.93,1980-01-19,365,1979-01-19,13,13,1972-04-14,1975-08-24,1608.0,78
6231,MOLNIYA 1-21,PAYLOAD,64.23,1977-11-01,30,1977-10-02,408,408,1972-10-14,1977-09-20,41.8,79
6231,MOLNIYA 1-21,PAYLOAD,64.23,1977-11-01,90,1977-08-03,408,396,1972-10-14,1977-07-28,41.8,80
6231,MOLNIYA 1-21,PAYLOAD,64.23,1977-11-01,180,1977-05-05,408,377,1972-10-14,1977-05-03,41.8,81
6231,MOLNIYA 1-21,PAYLOAD,64.23,1977-11-01,365,1976-11-01,408,346,1972-10-14,1976-10-31,41.8,82
