run_idx,norad,lead_days,ierr,nzones,nvalid,npred,primary_zone,primary_reentry_jd,primary_rpe_pct,t_mean,t_std,ens_rpe_pct,zepoch1,decay_jd
   1, 35497,  30,  0, 8, 5, 3, 8, 2457679.5331,   -22.133, 2457731.9451,   435.65,     3.990, 2456703.9292, 2457692.5000
   2, 35497,  90,  0, 8, 5, 3, 8, 2457667.7579,   -24.881, 2457731.9451,   436.44,     3.990, 2456703.9292, 2457692.5000
   3, 35497, 180,  0, 8, 4, 2, 8, 2458161.7912,   232.449, 2458238.0437,   107.84,    51.974, 2456642.8514, 2457692.5000
   4, 35497, 365,  0, 8, 5, 4, 8, 2458238.2363,   141.610, 2457377.1477,   509.67,   -28.396, 2456581.9521, 2457692.5000
   5, 37151,  30,  0, 8, 5, 6, 8, 2457345.7015,   -34.342, 2457343.7736,   301.30,    -2.209, 2456603.2714, 2457360.5000
   6, 37151,  90,  0, 8, 5, 6, 8, 2457368.6064,     7.783, 2457355.2261,   297.14,    -0.696, 2456603.2714, 2457360.5000
   7, 37151, 180,  0, 8, 5, 6, 8, 2457333.7780,   -14.429, 2457337.8118,   303.65,    -2.996, 2456603.2714, 2457360.5000
   8, 37151, 365,  0, 8, 5, 6, 8, 2458003.0568,   173.946, 2457406.8234,   376.27,     6.117, 2456603.2714, 2457360.5000
   9, 27526,  30,  0, 8, 5, 7, 8, 2456061.4737,    13.365, 2456061.4737,   319.57,     0.808, 2455440.8741, 2456056.5000
  10, 27526,  90,  0, 8, 4, 7, 8, 2456098.3179,    42.472, 2456064.8351,   318.56,     1.354, 2455440.8741, 2456056.5000
  11, 27526, 180,  0, 8, 5, 5, 8, 2456039.1590,    -8.659, 2456039.1590,   263.69,    -2.285, 2455297.6499, 2456056.5000
  12, 27526, 365,  0, 8, 5, 4, 7, 2456416.0848,    88.330, 2456093.2238,   254.86,     4.839, 2455297.6499, 2456056.5000
  13, 37819,  30,  0, 8, 6, 8, 8, 2456542.2887,   -13.702, 2456515.7379,    55.48,    -7.968, 2456137.3115, 2456548.5000
  14, 37819,  90,  0, 8, 6, 8, 8, 2456532.3194,   -15.145, 2456515.7379,    54.93,    -7.968, 2456137.3115, 2456548.5000
  15, 37819, 180,  0, 8, 6, 8, 8, 2456497.9438,   -26.864, 2456504.1753,    84.81,    -6.768, 2455893.5914, 2456548.5000
  16, 37819, 365,  0, 8, 5, 8, 8, 2456536.1443,    -3.332, 2456381.1750,   100.79,   -24.792, 2455873.5786, 2456548.5000
  17, 59347,  30,  0, 8, 0, 3, 8, 2461146.8973,   -69.799, 2461117.4414,    21.69,   -10.633, 2460427.7600, 2461199.5000
  18, 59347,  90,  0, 8, 0, 1, 8, 2461117.4414,   -60.209, 2461117.4414,     0.00,   -10.633, 2460427.7600, 2461199.5000
  19, 59347, 180,  0, 8, 0, 1, 8, 2461125.5600,   -35.568, 2461125.5600,     0.00,    -9.581, 2460427.7600, 2461199.5000
  20, 59347, 365,  3, 8, 0, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2460400.5855, 2461199.5000
  21, 40943,  30,  0, 8, 1, 3, 8, 2458947.8104,   127.741, 2458997.6877,    50.35,    11.464, 2458043.0264, 2458899.5000
