run_idx,norad,lead_days,ierr,nzones,nvalid,npred,primary_zone,primary_reentry_jd,primary_rpe_pct,t_mean,t_std,ens_rpe_pct,zepoch1,decay_jd
  42, 19881, 180,  3, 1, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2446764.2050, 2449047.5000
  43, 19881, 365,  3, 1, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2446764.2050, 2449047.5000
  44,  5980,  30,  0, 8, 1, 3, 7, 2442717.0959,   -16.527, 2442746.7189,   308.42,    -8.385, 2441285.0545, 2442880.5000
  45,  5980,  90,  0, 8, 1, 3, 7, 2442717.0959,   -16.527, 2442746.7189,   308.42,    -8.385, 2441285.0545, 2442880.5000
  46,  5980, 180,  0, 8, 1, 3, 7, 2442717.0959,   -16.527, 2442746.7189,   308.42,    -8.385, 2441285.0545, 2442880.5000
  47,  5980, 365,  0, 8, 1, 3, 7, 2442717.0959,   -16.527, 2442746.7189,   308.42,    -8.385, 2441285.0545, 2442880.5000
  48,  4570,  30,  0, 2, 1, 2, 2, 2441456.8570,    -6.141, 2441422.1018,    49.15,   -21.936, 2441256.9847, 2441468.5000
  49,  4570,  90,  0, 2, 1, 2, 2, 2441456.8570,    -6.141, 2441422.1018,    49.15,   -21.936, 2441256.9847, 2441468.5000
  50,  4570, 180,  0, 1, 1, 1, 1, 2441387.3465,   -38.368, 2441387.3465,     0.00,   -38.368, 2441256.9847, 2441468.5000
  51,  4570, 365,  2,,,,,,,,,,, 2441468.5000
  52, 10724,  30,  0, 7, 0, 2, 6, 2445997.3177,   143.582, 2445695.3798,   427.00,    62.776, 2444443.2938, 2445212.5000
  53, 10724,  90,  0, 7, 0, 2, 6, 2445997.3177,   143.582, 2445695.3798,   427.00,    62.776, 2444443.2938, 2445212.5000
  54, 10724, 180,  0, 7, 0, 2, 6, 2445997.3177,   143.582, 2445695.3798,   427.00,    62.776, 2444443.2938, 2445212.5000
  55, 10724, 365,  0, 7, 0, 2, 6, 2445997.3177,   143.582, 2445695.3798,   427.00,    62.776, 2444443.2938, 2445212.5000
  56, 28140,  30,  3, 8, 6, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453508.8333, 2454387.5000
  57, 28140,  90,  3, 8, 6, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453508.8333, 2454387.5000
  58, 28140, 180,  3, 8, 6, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453508.8333, 2454387.5000
  59, 28140, 365,  3, 8, 6, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453508.8333, 2454387.5000
  60, 44911,  30,  3, 8, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2458944.9983, 2459703.5000
  61, 44911,  90,  3, 8, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2458944.9983, 2459703.5000
