run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
  22, 40943,  90, 1, 0.640494,  11.022,       0.0000,     0.000, 2, 2458043.0264,       41.6519
  22, 40943,  90, 2, 0.619913,  15.017,       0.0000,     0.000, 2, 2458456.1613,        3.6235
  22, 40943,  90, 3, 0.619134,  26.026,       0.0000,     0.000, 2, 2458516.7971,        8.4101
  22, 40943,  90, 4, 0.617397,  10.721,       0.0000,     0.000, 2, 2458578.3000,       15.3772
  22, 40943,  90, 5, 0.604850,  27.963,       0.0000,     0.000, 2, 2458679.2097,        9.5041
  22, 40943,  90, 6, 0.600174,  17.288,       0.0000,     0.000, 2, 2458699.4359,        5.2407
  22, 40943,  90, 7, 0.553400,  15.783, 2458997.6877,    82.492, 2, 2458780.4732,       34.6196
  22, 40943,  90, 8, 0.524991,  27.603, 2459042.5537,   145.131, 2, 2458800.9310,        3.7109
  23, 40943, 180, 1, 0.640494,  11.022,       0.0000,     0.000, 2, 2458043.0264,       41.6519
  23, 40943, 180, 2, 0.638084,  10.202,       0.0000,     0.000, 2, 2458063.2852,       36.4177
  23, 40943, 180, 3, 0.619913,  15.017,       0.0000,     0.000, 2, 2458456.1613,        3.6235
  23, 40943, 180, 4, 0.619134,  26.026,       0.0000,     0.000, 2, 2458516.7971,        8.4101
  23, 40943, 180, 5, 0.617397,  10.721,       0.0000,     0.000, 2, 2458578.3000,       15.3772
  23, 40943, 180, 6, 0.614149,  15.502,       0.0000,     0.000, 2, 2458618.4117,        2.6728
  23, 40943, 180, 7, 0.604850,  27.963,       0.0000,     0.000, 2, 2458679.2097,        9.5041
  23, 40943, 180, 8, 0.600174,  17.288,       0.0000,     0.000, 2, 2458699.4359,        5.2407
  24, 40943, 365, 1, 0.682892,   8.569,       0.0000,     0.000, 2, 2457562.5008,      106.8154
  24, 40943, 365, 2, 0.640494,  11.022,       0.0000,     0.000, 2, 2458043.0264,       41.6519
  24, 40943, 365, 3, 0.638084,  10.202,       0.0000,     0.000, 2, 2458063.2852,       36.4177
  24, 40943, 365, 4, 0.631515,  10.852,       0.0000,     0.000, 2, 2458125.0270,        7.1516
  24, 40943, 365, 5, 0.621025,  29.000,       0.0000,     0.000, 2, 2458394.3035,        4.3700
  24, 40943, 365, 6, 0.620266,  20.785,       0.0000,     0.000, 2, 2458436.0215,        1.9187
  24, 40943, 365, 7, 0.619913,  15.017,       0.0000,     0.000, 2, 2458456.1613,        3.6235
  24, 40943, 365, 8, 0.619179,  26.024,       0.0000,     0.000, 2, 2458516.7971,        6.3592
  25, 60328,  30, 1, 0.722411,  48.958,       0.0000,     0.000, 0, 2460535.5803,       16.2012
  25, 60328,  30, 2, 0.715401,  51.210,       0.0000,     0.000, 0, 2460561.1855,       17.6494
  25, 60328,  30, 3, 0.711700,  30.731, 2460987.6687,   105.088, 2, 2460581.4096,        5.4281
  25, 60328,  30, 4, 0.708107,  57.101, 2460748.0839,   -17.702, 0, 2460602.0309,        9.5871
  25, 60328,  30, 5, 0.690440, 103.614, 2460765.1512,   -20.846, 2, 2460710.6662,      203.5316
  25, 60328,  30, 6, 0.674481, 126.974, 2460777.7574,    -3.635, 2, 2460731.5562,      264.0708
  26, 60328,  90, 1, 0.722411,  48.958,       0.0000,     0.000, 0, 2460535.5803,       16.2012
  26, 60328,  90, 2, 0.715401,  51.210,       0.0000,     0.000, 0, 2460561.1855,       17.6494
  26, 60328,  90, 3, 0.711700,  30.731, 2460987.6687,   105.088, 2, 2460581.4096,        5.4281
  26, 60328,  90, 4, 0.708107,  57.101, 2460748.0839,   -17.702, 0, 2460602.0309,        9.5871
  27, 60328, 180, 1, 0.722411,  48.958,       0.0000,     0.000, 0, 2460535.5803,       16.2012
  27, 60328, 180, 2, 0.715401,  51.210,       0.0000,     0.000, 0, 2460561.1855,       17.6494
  27, 60328, 180, 3, 0.711713,  30.111, 2460987.0303,   104.765, 2, 2460581.4096,        4.2014
  28, 18983,  30, 1, 0.723478, 151.434,       0.0000,     0.000, 2, 2448314.2911,        5.1002
  28, 18983,  30, 2, 0.720569,  70.523,       0.0000,     0.000, 0, 2448368.1538,        2.1867
  28, 18983,  30, 3, 0.716723,  78.244,       0.0000,     0.000, 0, 2448438.2772,        2.2971
  28, 18983,  30, 4, 0.713510, 106.931,       0.0000,     0.000, 0, 2448493.6640,        4.2545
  28, 18983,  30, 5, 0.712271, 116.245,       0.0000,     0.000, 0, 2448515.5135,        4.5045
  28, 18983,  30, 6, 0.700656, 129.464,       0.0000,     0.000, 0, 2448711.1460,        3.3307
  28, 18983,  30, 7, 0.695847,  87.986,       0.0000,     0.000, 0, 2448791.9393,        1.5876
  28, 18983,  30, 8, 0.742429,  75.390,       0.0000,     0.000, 0, 2451406.7371,        2.1295
  29, 18983,  90, 1, 0.723478, 151.434,       0.0000,     0.000, 2, 2448314.2911,        5.1002
  29, 18983,  90, 2, 0.720569,  70.523,       0.0000,     0.000, 0, 2448368.1538,        2.1867
  29, 18983,  90, 3, 0.716723,  78.244,       0.0000,     0.000, 0, 2448438.2772,        2.2971
  29, 18983,  90, 4, 0.713510, 106.931,       0.0000,     0.000, 0, 2448493.6640,        4.2545
  29, 18983,  90, 5, 0.712271, 116.245,       0.0000,     0.000, 0, 2448515.5135,        4.5045
  29, 18983,  90, 6, 0.700656, 129.464,       0.0000,     0.000, 0, 2448711.1460,        3.3307
  29, 18983,  90, 7, 0.695847,  87.986,       0.0000,     0.000, 0, 2448791.9393,        1.5876
  29, 18983,  90, 8, 0.742429,  75.390,       0.0000,     0.000, 0, 2451406.7371,        2.1295
  30, 18983, 180, 1, 0.723478, 151.434,       0.0000,     0.000, 2, 2448314.2911,        5.1002
  30, 18983, 180, 2, 0.720569,  70.523,       0.0000,     0.000, 0, 2448368.1538,        2.1867
  30, 18983, 180, 3, 0.716723,  78.244,       0.0000,     0.000, 0, 2448438.2772,        2.2971
  30, 18983, 180, 4, 0.713510, 106.931,       0.0000,     0.000, 0, 2448493.6640,        4.2545
  30, 18983, 180, 5, 0.712271, 116.245,       0.0000,     0.000, 0, 2448515.5135,        4.5045
  30, 18983, 180, 6, 0.700656, 129.464,       0.0000,     0.000, 0, 2448711.1460,        3.3307
  30, 18983, 180, 7, 0.695847,  87.986,       0.0000,     0.000, 0, 2448791.9393,        1.5876
  30, 18983, 180, 8, 0.742429,  75.390,       0.0000,     0.000, 0, 2451406.7371,        2.1295
  31, 18983, 365, 1, 0.723478, 151.434,       0.0000,     0.000, 2, 2448314.2911,        5.1002
  31, 18983, 365, 2, 0.720569,  70.523,       0.0000,     0.000, 0, 2448368.1538,        2.1867
  31, 18983, 365, 3, 0.716723,  78.244,       0.0000,     0.000, 0, 2448438.2772,        2.2971
  31, 18983, 365, 4, 0.713510, 106.931,       0.0000,     0.000, 0, 2448493.6640,        4.2545
  31, 18983, 365, 5, 0.712271, 116.245,       0.0000,     0.000, 0, 2448515.5135,        4.5045
  31, 18983, 365, 6, 0.700656, 129.464,       0.0000,     0.000, 0, 2448711.1460,        3.3307
  31, 18983, 365, 7, 0.695847,  87.986,       0.0000,     0.000, 0, 2448791.9393,        1.5876
  31, 18983, 365, 8, 0.742429,  75.390,       0.0000,     0.000, 0, 2451406.7371,        2.1295
  32, 13112,  30, 1, 0.731998, 149.797,       0.0000,     0.000, 2, 2446307.8123,        3.9762
  32, 13112,  30, 2, 0.729898, 155.734,       0.0000,     0.000, 2, 2446352.5659,       10.7921
  32, 13112,  30, 3, 0.754389,  89.155, 2448893.0575,   -22.358, 2, 2448728.3019,       18.9781
  32, 13112,  30, 4, 0.754537,  61.664, 2448914.0208,   -13.867, 2, 2448749.5552,       36.4393
  32, 13112,  30, 5, 0.754488,  31.480, 2448917.6278,   -13.433, 2, 2448770.2310,       30.5779
  33, 13112,  90, 1, 0.731998, 149.797,       0.0000,     0.000, 2, 2446307.8123,        3.9762
  33, 13112,  90, 2, 0.729898, 155.734,       0.0000,     0.000, 2, 2446352.5659,       10.7921
  33, 13112,  90, 3, 0.754389,  89.155, 2448893.0575,   -22.358, 2, 2448728.3019,       18.9781
  33, 13112,  90, 4, 0.754537,  61.664, 2448914.0208,   -13.867, 2, 2448749.5552,       36.4393
  33, 13112,  90, 5, 0.754488,  31.480, 2448917.6278,   -13.433, 2, 2448770.2310,       30.5779
  34, 13112, 180, 1, 0.731998, 149.797,       0.0000,     0.000, 2, 2446307.8123,        3.9762
  34, 13112, 180, 2, 0.729898, 155.734,       0.0000,     0.000, 2, 2446352.5659,       10.7921
  34, 13112, 180, 3, 0.754389,  89.155, 2448893.0575,   -22.358, 2, 2448728.3019,       18.9781
  34, 13112, 180, 4, 0.754674,  63.754, 2448913.9290,   -13.916, 2, 2448749.5552,       18.3649
  35, 13112, 365, 1, 0.731998, 149.797,       0.0000,     0.000, 2, 2446307.8123,        3.9762
  35, 13112, 365, 2, 0.729898, 155.734,       0.0000,     0.000, 2, 2446352.5659,       10.7921
  36, 28141,  30, 1, 0.854042,  89.718,       0.0000,     0.000, 2, 2453261.1667,       14.8507
  36, 28141,  30, 2, 0.852667, 101.060,       0.0000,     0.000, 0, 2453287.6250,        8.8019
  36, 28141,  30, 3, 0.851720,  93.051,       0.0000,     0.000, 0, 2453301.4583,       16.7321
  36, 28141,  30, 4, 0.854039,  80.605,       0.0000,     0.000, 2, 2453453.4583,       41.4389
  36, 28141,  30, 5, 0.851435,  80.166,       0.0000,     0.000, 2, 2453646.7917,        7.9304
  36, 28141,  30, 6, 0.846024,  95.723,       0.0000,     0.000, 0, 2453712.5049,       26.3699
  36, 28141,  30, 7, 0.840339,  92.195,       0.0000,     0.000, 0, 2453934.6250,       17.1174
  36, 28141,  30, 8, 0.839750, 114.980,       0.0000,     0.000, 0, 2453948.4583,       20.6859
  37, 28141,  90, 1, 0.854042,  89.718,       0.0000,     0.000, 2, 2453261.1667,       14.8507
  37, 28141,  90, 2, 0.852667, 101.060,       0.0000,     0.000, 0, 2453287.6250,        8.8019
  37, 28141,  90, 3, 0.851720,  93.051,       0.0000,     0.000, 0, 2453301.4583,       16.7321
  37, 28141,  90, 4, 0.854039,  80.605,       0.0000,     0.000, 2, 2453453.4583,       41.4389
  37, 28141,  90, 5, 0.851435,  80.166,       0.0000,     0.000, 2, 2453646.7917,        7.9304
  37, 28141,  90, 6, 0.846024,  95.723,       0.0000,     0.000, 0, 2453712.5049,       26.3699
  37, 28141,  90, 7, 0.840339,  92.195,       0.0000,     0.000, 0, 2453934.6250,       17.1174
  37, 28141,  90, 8, 0.839750, 114.980,       0.0000,     0.000, 0, 2453948.4583,       20.6859
