run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
  42, 19881, 180, 1, 0.720605, 123.190,       0.0000,     0.000, 0, 2446764.2050,        1.7703
  43, 19881, 365, 1, 0.720605, 123.190,       0.0000,     0.000, 0, 2446764.2050,        1.7703
  44,  5980,  30, 1, 0.336878,  30.097,       0.0000,     0.000, 0, 2441285.0545,        1.6158
  44,  5980,  30, 2, 0.311299,  14.720,       0.0000,     0.000, 2, 2441450.1664,        9.4104
  44,  5980,  30, 3, 0.286073,   6.542, 2442746.7189,   -10.349, 2, 2441587.7932,        7.1520
  44,  5980,  30, 4, 0.272414,  18.387,       0.0000,     0.000, 2, 2441661.9664,       11.2317
  44,  5980,  30, 5, 0.270276,  16.765,       0.0000,     0.000, 2, 2441683.9781,        2.9886
  44,  5980,  30, 6, 0.238455,  10.213, 2443181.8841,    29.848, 2, 2441870.7600,        9.6694
  44,  5980,  30, 7, 0.236238,  10.742, 2442717.0959,   -16.527, 2, 2441891.7629,        2.3072
  44,  5980,  30, 8, 0.196006,  58.359,       0.0000,     0.000, 2, 2442116.5543,       30.4611
  45,  5980,  90, 1, 0.336878,  30.097,       0.0000,     0.000, 0, 2441285.0545,        1.6158
  45,  5980,  90, 2, 0.311299,  14.720,       0.0000,     0.000, 2, 2441450.1664,        9.4104
  45,  5980,  90, 3, 0.286073,   6.542, 2442746.7189,   -10.349, 2, 2441587.7932,        7.1520
  45,  5980,  90, 4, 0.272414,  18.387,       0.0000,     0.000, 2, 2441661.9664,       11.2317
  45,  5980,  90, 5, 0.270276,  16.765,       0.0000,     0.000, 2, 2441683.9781,        2.9886
  45,  5980,  90, 6, 0.238455,  10.213, 2443181.8841,    29.848, 2, 2441870.7600,        9.6694
  45,  5980,  90, 7, 0.236238,  10.742, 2442717.0959,   -16.527, 2, 2441891.7629,        2.3072
  45,  5980,  90, 8, 0.196006,  58.359,       0.0000,     0.000, 2, 2442116.5543,       30.4611
  46,  5980, 180, 1, 0.336878,  30.097,       0.0000,     0.000, 0, 2441285.0545,        1.6158
  46,  5980, 180, 2, 0.311299,  14.720,       0.0000,     0.000, 2, 2441450.1664,        9.4104
  46,  5980, 180, 3, 0.286073,   6.542, 2442746.7189,   -10.349, 2, 2441587.7932,        7.1520
  46,  5980, 180, 4, 0.272414,  18.387,       0.0000,     0.000, 2, 2441661.9664,       11.2317
  46,  5980, 180, 5, 0.270276,  16.765,       0.0000,     0.000, 2, 2441683.9781,        2.9886
  46,  5980, 180, 6, 0.238455,  10.213, 2443181.8841,    29.848, 2, 2441870.7600,        9.6694
  46,  5980, 180, 7, 0.236238,  10.742, 2442717.0959,   -16.527, 2, 2441891.7629,        2.3072
  46,  5980, 180, 8, 0.196006,  58.359,       0.0000,     0.000, 2, 2442116.5543,       30.4611
  47,  5980, 365, 1, 0.336878,  30.097,       0.0000,     0.000, 0, 2441285.0545,        1.6158
  47,  5980, 365, 2, 0.311299,  14.720,       0.0000,     0.000, 2, 2441450.1664,        9.4104
  47,  5980, 365, 3, 0.286073,   6.542, 2442746.7189,   -10.349, 2, 2441587.7932,        7.1520
  47,  5980, 365, 4, 0.272414,  18.387,       0.0000,     0.000, 2, 2441661.9664,       11.2317
  47,  5980, 365, 5, 0.270276,  16.765,       0.0000,     0.000, 2, 2441683.9781,        2.9886
  47,  5980, 365, 6, 0.238455,  10.213, 2443181.8841,    29.848, 2, 2441870.7600,        9.6694
  47,  5980, 365, 7, 0.236238,  10.742, 2442717.0959,   -16.527, 2, 2441891.7629,        2.3072
  47,  5980, 365, 8, 0.196006,  58.359,       0.0000,     0.000, 2, 2442116.5543,       30.4611
  48,  4570,  30, 1, 0.748081,  61.085, 2441387.3465,   -38.368, 0, 2441256.9847,        2.4859
  48,  4570,  30, 2, 0.748298,  27.127, 2441456.8570,    -6.141, 2, 2441278.9121,       13.7352
  49,  4570,  90, 1, 0.748081,  61.085, 2441387.3465,   -38.368, 0, 2441256.9847,        2.4859
