run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
   7, 37151, 180, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   7, 37151, 180, 5, 0.481318,  46.550, 2457316.0705,   -10.309, 2, 2456929.5410,        9.9099
   7, 37151, 180, 6, 0.416151,  58.772, 2458008.8076,   225.894, 0, 2457073.5033,       17.4573
   7, 37151, 180, 7, 0.369087,  69.932, 2457341.8457,    -9.063, 2, 2457154.6604,       14.3921
   7, 37151, 180, 8, 0.350180,  78.111, 2457333.7780,   -14.429, 2, 2457175.3022,        0.8049
   8, 37151, 365, 1, 0.558188,  57.643,       0.0000,     0.000, 0, 2456603.2714,        1.3348
   8, 37151, 365, 2, 0.530443,  53.014,       0.0000,     0.000, 0, 2456765.4032,        1.8234
   8, 37151, 365, 3, 0.516500,  70.411, 2457384.2592,     4.294, 0, 2456807.1762,        4.6921
   8, 37151, 365, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   8, 37151, 365, 5, 0.488441,  46.337, 2457429.3875,    15.267, 2, 2456909.2941,       11.1041
   8, 37151, 365, 6, 0.481588,  44.697, 2457308.6507,   -12.031, 2, 2456929.5410,        1.1178
   8, 37151, 365, 7, 0.464811,  56.408, 2457969.3469,   156.313, 0, 2456970.9949,        2.2391
   8, 37151, 365, 8, 0.456403,  59.470, 2458003.0568,   173.946, 2, 2456991.0993,        8.6343
   9, 27526,  30, 1, 0.571213,  72.510,       0.0000,     0.000, 0, 2455440.8741,        3.7088
   9, 27526,  30, 2, 0.498203,  72.093, 2456838.4043,   227.613, 0, 2455712.9766,       12.9121
   9, 27526,  30, 3, 0.446310,  68.690, 2456064.8351,     3.783, 0, 2455836.1807,        9.2053
   9, 27526,  30, 4, 0.428742,  79.112, 2456124.9444,    34.178, 0, 2455856.2392,        4.9301
   9, 27526,  30, 5, 0.409978,  71.980, 2456048.1296,    -4.652, 2, 2455876.5828,        2.6402
   9, 27526,  30, 6, 0.389114,  66.480, 2456058.1321,     1.021, 2, 2455896.6431,       44.6990
   9, 27526,  30, 7, 0.378290,  98.221, 2455991.3470,   -46.601, 2, 2455916.6893,      190.4334
   9, 27526,  30, 8, 0.207488,  83.932, 2456061.4737,    13.365, 0, 2456019.2851,        7.0892
  10, 27526,  90, 1, 0.571213,  72.510,       0.0000,     0.000, 0, 2455440.8741,        3.7088
  10, 27526,  90, 2, 0.498203,  72.093, 2456838.4043,   227.613, 0, 2455712.9766,       12.9121
  10, 27526,  90, 3, 0.446310,  68.690, 2456064.8351,     3.783, 0, 2455836.1807,        9.2053
  10, 27526,  90, 4, 0.428742,  79.112, 2456124.9444,    34.178, 0, 2455856.2392,        4.9301
  10, 27526,  90, 5, 0.409978,  71.980, 2456048.1296,    -4.652, 2, 2455876.5828,        2.6402
  10, 27526,  90, 6, 0.389114,  66.480, 2456058.1321,     1.021, 2, 2455896.6431,       44.6990
  10, 27526,  90, 7, 0.378290,  98.221, 2455991.3470,   -46.601, 2, 2455916.6893,      190.4334
  10, 27526,  90, 8, 0.310858, 105.044, 2456098.3179,    42.472, 2, 2455958.0405,        8.1882
  11, 27526, 180, 1, 0.589519,  57.888,       0.0000,     0.000, 2, 2455297.6499,        8.4595
  11, 27526, 180, 2, 0.571188,  76.138,       0.0000,     0.000, 0, 2455440.8741,        5.5223
  11, 27526, 180, 3, 0.567696,  63.053,       0.0000,     0.000, 0, 2455460.9080,        3.3155
  11, 27526, 180, 4, 0.558815,  58.828, 2455932.4622,   -22.372, 0, 2455502.0711,        2.0564
  11, 27526, 180, 5, 0.523837,  41.163, 2456309.6852,    59.202, 0, 2455628.8365,        2.5419
  11, 27526, 180, 6, 0.498651,  45.858, 2456478.6005,   122.874, 0, 2455712.9766,        2.0159
  11, 27526, 180, 7, 0.447974,  54.830, 2456017.7478,   -17.589, 2, 2455836.1807,       47.2418
  11, 27526, 180, 8, 0.431522,  59.353, 2456039.1590,    -8.659, 2, 2455856.2392,       73.7674
  12, 27526, 365, 1, 0.589519,  57.888,       0.0000,     0.000, 2, 2455297.6499,        8.4595
  12, 27526, 365, 2, 0.571188,  76.138,       0.0000,     0.000, 0, 2455440.8741,        5.5223
  12, 27526, 365, 3, 0.567696,  63.053,       0.0000,     0.000, 0, 2455460.9080,        3.3155
  12, 27526, 365, 4, 0.558815,  58.828, 2455932.4622,   -22.372, 0, 2455502.0711,        2.0564
  12, 27526, 365, 5, 0.552045,  50.013, 2455895.9061,   -30.196, 0, 2455524.6659,        8.5501
  12, 27526, 365, 6, 0.523739,  35.048, 2456253.9854,    46.178, 2, 2455628.8365,        2.6885
  12, 27526, 365, 7, 0.518598,  30.557, 2456416.0848,    88.330, 2, 2455649.4059,        5.2393
  12, 27526, 365, 8, 0.512368,  36.964,       0.0000,     0.000, 0, 2455669.4338,        4.2623
  13, 37819,  30, 1, 0.410341,  61.753, 2456654.0757,    25.676, 0, 2456137.3115,        7.6524
  13, 37819,  30, 2, 0.376885,  44.463, 2456544.2852,    -1.276, 0, 2456218.1813,        1.8920
  13, 37819,  30, 3, 0.354169,  40.130, 2456522.7787,    -8.882, 0, 2456258.9263,        1.4532
  13, 37819,  30, 4, 0.344840,  45.150, 2456508.6970,   -14.766, 0, 2456278.9393,        4.3110
  13, 37819,  30, 5, 0.321007,  43.408, 2456499.3566,   -21.462, 0, 2456319.5256,        1.7700
  13, 37819,  30, 6, 0.292712,  45.529, 2456496.0969,   -27.845, 2, 2456360.3056,        4.7179
  13, 37819,  30, 7, 0.274534,  44.028, 2456504.0151,   -26.507, 0, 2456380.6738,        1.9707
  13, 37819,  30, 8, 0.134571,  45.628, 2456542.2887,   -13.702, 2, 2456503.1693,       30.0008
  14, 37819,  90, 1, 0.410341,  61.753, 2456654.0757,    25.676, 0, 2456137.3115,        7.6524
  14, 37819,  90, 2, 0.376885,  44.463, 2456544.2852,    -1.276, 0, 2456218.1813,        1.8920
  14, 37819,  90, 3, 0.354169,  40.130, 2456522.7787,    -8.882, 0, 2456258.9263,        1.4532
  14, 37819,  90, 4, 0.344840,  45.150, 2456508.6970,   -14.766, 0, 2456278.9393,        4.3110
  14, 37819,  90, 5, 0.321007,  43.408, 2456499.3566,   -21.462, 0, 2456319.5256,        1.7700
  14, 37819,  90, 6, 0.292712,  45.529, 2456496.0969,   -27.845, 2, 2456360.3056,        4.7179
  14, 37819,  90, 7, 0.274534,  44.028, 2456504.0151,   -26.507, 0, 2456380.6738,        1.9707
  14, 37819,  90, 8, 0.209208,  45.584, 2456532.3194,   -15.145, 2, 2456441.6647,        8.2669
  15, 37819, 180, 1, 0.463531,  37.898, 2456377.3126,   -26.139, 2, 2455893.5914,        1.0019
  15, 37819, 180, 2, 0.446285,  63.900, 2456335.3439,   -39.947, 0, 2456014.9028,        1.7788
  15, 37819, 180, 3, 0.410455,  48.914, 2456576.7070,     6.860, 0, 2456137.3115,        6.2739
  15, 37819, 180, 4, 0.377119,  39.959, 2456519.6994,    -8.719, 0, 2456218.1813,        3.7501
  15, 37819, 180, 5, 0.354164,  39.182, 2456518.3461,   -10.413, 0, 2456258.9263,        1.4277
  15, 37819, 180, 6, 0.344754,  44.666, 2456506.9216,   -15.425, 2, 2456278.9393,        3.8587
  15, 37819, 180, 7, 0.320878,  44.159, 2456501.4291,   -20.557, 0, 2456319.5256,        1.7316
  15, 37819, 180, 8, 0.292530,  46.319, 2456497.9438,   -26.864, 0, 2456360.3056,        1.2275
  16, 37819, 365, 1, 0.465773,  34.481, 2456384.4756,   -24.303, 2, 2455873.5786,        3.5433
  16, 37819, 365, 2, 0.463537,  41.086, 2456385.5559,   -24.880, 2, 2455893.5914,        1.0934
  16, 37819, 365, 3, 0.461509,  66.516, 2456377.8743,   -26.880, 0, 2455913.7256,        5.0533
  16, 37819, 365, 4, 0.456751,  45.476, 2456307.8796,   -40.491, 0, 2455954.2381,        2.1243
  16, 37819, 365, 5, 0.450402,  34.958, 2456280.8212,   -48.340, 0, 2455994.7559,        2.8714
