run_idx,norad,lead_days,ierr,nzones,nvalid,npred,primary_zone,primary_reentry_jd,primary_rpe_pct,t_mean,t_std,ens_rpe_pct,zepoch1,decay_jd
  22, 40943,  90,  0, 8, 0, 2, 8, 2459042.5537,   145.131, 2459020.1207,    31.73,    14.083, 2458043.0264, 2458899.5000
  23, 40943, 180,  3, 8, 0, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2458043.0264, 2458899.5000
  24, 40943, 365,  3, 8, 0, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2457562.5008, 2458899.5000
  25, 60328,  30,  0, 6, 3, 4, 6, 2460777.7574,    -3.635, 2460771.4543,   125.66,    -3.298, 2460535.5803, 2460779.5000
  26, 60328,  90,  0, 4, 3, 2, 4, 2460748.0839,   -17.702, 2460867.8763,   169.41,    36.232, 2460535.5803, 2460779.5000
  27, 60328, 180,  0, 3, 2, 1, 3, 2460987.0303,   104.765, 2460987.0303,     0.00,    85.081, 2460535.5803, 2460779.5000
  28, 18983,  30,  3, 8, 7, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2448314.2911, 2452297.5000
  29, 18983,  90,  3, 8, 7, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2448314.2911, 2452297.5000
  30, 18983, 180,  3, 8, 7, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2448314.2911, 2452297.5000
  31, 18983, 365,  3, 8, 7, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2448314.2911, 2452297.5000
  32, 13112,  30,  0, 5, 0, 3, 5, 2448917.6278,   -13.433, 2448914.0208,    15.04,    -1.006, 2446307.8123, 2448940.5000
  33, 13112,  90,  0, 5, 0, 3, 5, 2448917.6278,   -13.433, 2448914.0208,    15.04,    -1.006, 2446307.8123, 2448940.5000
  34, 13112, 180,  0, 4, 0, 2, 4, 2448913.9290,   -13.916, 2448903.4933,    14.76,    -1.406, 2446307.8123, 2448940.5000
  35, 13112, 365,  3, 2, 0, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2446307.8123, 2448940.5000
  36, 28141,  30,  3, 8, 5, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453261.1667, 2454387.5000
  37, 28141,  90,  3, 8, 5, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453261.1667, 2454387.5000
  38, 28141, 180,  3, 8, 5, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453261.1667, 2454387.5000
  39, 28141, 365,  3, 8, 5, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2453261.1667, 2454387.5000
  40, 19881,  30,  3, 1, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2446764.2050, 2449047.5000
  41, 19881,  90,  3, 1, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2446764.2050, 2449047.5000
