norad,name,type,incl_deg,lead_days,n_tle_kept,predicted,primary_rpe_pct,ens_rpe_pct,policy_case
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,180,0,False,,,"ARTEMIS 2 (INTEGRITY) -- crewed Orion capsule, controlled re-entry, not natural decay"
68538,ARTEMIS 2 (INTEGRITY),PAYLOAD,29.25,365,0,False,,,"ARTEMIS 2 (INTEGRITY) -- crewed Orion capsule, controlled re-entry, not natural decay"
6294,MOLNIYA 1-22,PAYLOAD,64.93,30,213,False,,,
6294,MOLNIYA 1-22,PAYLOAD,64.93,90,207,False,,,
6294,MOLNIYA 1-22,PAYLOAD,64.93,180,194,False,,,
6294,MOLNIYA 1-22,PAYLOAD,64.93,365,168,False,,,
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,30,24,False,,,
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,90,24,False,,,
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,180,14,False,,,
18954,ARIANE 3 DEB (SYLDA),DEBRIS,6.78,365,0,False,,,
29462,SL-12 DEB,DEBRIS,65.31,30,145,False,,,
29462,SL-12 DEB,DEBRIS,65.31,90,145,False,,,
29462,SL-12 DEB,DEBRIS,65.31,180,145,False,,,
29462,SL-12 DEB,DEBRIS,65.31,365,145,False,,,
5941,PROGNOZ 1,PAYLOAD,64.93,30,13,False,,,
5941,PROGNOZ 1,PAYLOAD,64.93,90,13,False,,,
5941,PROGNOZ 1,PAYLOAD,64.93,180,13,False,,,
5941,PROGNOZ 1,PAYLOAD,64.93,365,13,False,,,
6231,MOLNIYA 1-21,PAYLOAD,64.23,30,408,False,,,
6231,MOLNIYA 1-21,PAYLOAD,64.23,90,396,False,,,
6231,MOLNIYA 1-21,PAYLOAD,64.23,180,377,False,,,
6231,MOLNIYA 1-21,PAYLOAD,64.23,365,346,False,,,
