norad,npts,nfiltered,nremoved,nzones,ierr
 41686,   691,   706,    24, 8,0
 42977,   528,   542,    17, 8,0
 42979,   712,   713,     5, 0,0
 43685,   121,   125,     7, 3,0
 44555,    70,    71,     4, 1,0
 45494,   313,   316,    10, 2,0
 45495,   359,   372,    22, 8,0
 45497,   280,   291,    14, 0,0
 45499,   366,   368,     5, 6,0
