jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2455172.98122115,2009.9328712420263,16208.183089135111,0.5932639,17.686,162.2774,154.756,214.31687776076797,60.73975287049757,12649.61886155787
2455173.21827718,2009.9335202660645,16208.021983138688,0.5932564,17.6862,162.0715,155.138,214.37291030096912,60.68220421673783,12649.592385933267
2455174.40349238,2009.9367652084325,16206.93756889795,0.5932051,17.6884,161.0531,157.0377,214.76324764608398,60.39532496433645,12649.424888732314
2455175.11448202,2009.9387117919782,16206.354862335926,0.5931944,17.6954,160.4319,158.1822,214.69961358548335,60.217854887857584,12649.111663276097
2455175.82541828,2009.940658229377,16205.802451268919,0.5931741,17.6962,159.814,159.327,214.80386745968372,60.04403742425791,12648.94907849053
2455176.77322297,2009.9432531771934,16205.11865231819,0.5931486,17.7013,158.9934,160.8507,214.9389108617679,59.81295621041977,12648.75269762456
2455178.19471605,2009.9471450131412,16204.248245387947,0.5931729,17.7008,157.757,163.1443,214.1910213512665,59.46909526916761,12647.751864426042
2455178.90539638,2009.9490907498425,16203.741312690441,0.593166,17.7013,157.1408,164.2902,214.09659320710307,59.298330056677514,12647.447466629568
2455179.14226123,2009.9497392504584,16203.55360031775,0.5931449,17.7032,156.9372,164.6682,214.36212041263843,59.23926983498552,12647.58005158042
2455180.32650048,2009.9529815208216,16202.74468224334,0.5931537,17.7007,155.9058,166.5849,213.8904238153782,58.957352504249855,12646.832261685187
2455181.03694345,2009.9549266076663,16202.13982398167,0.5931375,17.7098,155.2584,167.7555,213.9068141347425,58.780321240143735,12646.574408729406
2455182.22083241,2009.9581679189864,16201.136743835961,0.5930821,17.7093,154.2587,169.6362,214.39624141456807,58.494449164876414,12646.524064252082
2455183.1679002,2009.9607608492813,16200.388922077696,0.5930591,17.7102,153.4336,171.1667,214.46454830032872,58.26639425872503,12646.244426846435
2455183.87809668,2009.9627052612736,16199.811703024036,0.5930561,17.7108,152.8157,172.3183,214.27825369424318,58.100105941529364,12645.833505412726
2455184.11480209,2009.9633533253661,16199.428457770664,0.5930286,17.7082,152.6141,172.6963,214.56777865876757,58.043202868186825,12645.897898963376
2455185.06159951,2009.9659455154272,16198.558455660468,0.5930097,17.7101,151.799,174.2135,214.5198654367905,57.81211444620271,12645.468579594357
2455186.00832133,2009.9685374985077,16197.730263099927,0.5929923,17.7103,150.9894,175.7239,214.46463960469555,57.57980053721451,12645.05203512877
2455187.19161727,2009.9717771862286,16196.505823451633,0.5929283,17.7152,149.9666,177.6183,215.0028596123566,57.28511295769994,12644.941935504301
2455187.42824671,2009.9724250423271,16196.291531208703,0.5929253,17.715,149.7704,177.9853,214.96421617932356,57.22268476223354,12644.814275384211
2455188.84795052,2009.976311979521,16195.54155135753,0.593371,17.6966,148.5191,180.3084,207.44056548696153,56.89518737249057,12638.336291088663
2455189.08454267,2009.9769597335244,16195.044705798213,0.5930736,17.6998,148.3196,180.6739,212.05493996952646,56.82799593118216,12641.88100350433
2455189.08457503,2009.976959822122,16194.804396320023,0.5929584,17.7168,148.3272,180.6657,213.82279316513632,56.82736403611875,12643.215873567306
2455189.7943194,2009.9789029963042,16194.159351957445,0.5929109,17.7168,147.7055,181.8122,214.32945584493882,56.652621330498846,12643.339887814023
2455190.97718756,2009.9821415128267,16193.058985696105,0.5928916,17.7195,146.6873,183.7051,214.19403477236483,56.36145538240021,12642.735758324538
2455192.15997984,2009.985379821601,16192.009864296644,0.592831,17.7136,145.6627,185.6156,214.7481644358004,56.08156422359667,12642.717087653222
2455192.86960719,2009.9873226754007,16191.36169120434,0.5928315,17.7138,145.0414,186.77,214.47615276513443,55.915236855718376,12642.204390808369
2455193.57918482,2009.989265393073,16190.837784606874,0.5928865,17.7175,144.4223,187.9186,213.3723384235509,55.74535849368965,12641.068917656135
